"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"html"	"854"	"P."	"écocement. Comme en"	"maïs, les attaques"	"maïs , le attaque"	""	"d'oscinies se manif"	"1006-1024"	"type=N_PUN_N, match=fcu, form=maïs, les attaques"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"html"	"4199"	"P."	"ine. Espaces verts,"	"parc et jardins"	"parc et jardin"	""	"d'amateurs. Observa"	"2754-2769"	"type=N_KON_N, match=fcu, form=parc et jardins"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"html"	"4199"	"P."	"entices du potager ("	"betterave, chénopode, épinard, poirée"	"betterave , chénopode , épinard , poirée"	""	"ou bette à cardes.."	"12597-12634"	"type=N_PUN_N, match=fcu, form=betterave, chénopode, épinard, poirée"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"html"	"4199"	"P."	"Loire (49), potager"	"d'amateurs et jardin"	"d'amateurs et jardin"	""	"associatif. Hépial"	"13788-13808"	"type=N_KON_N, match=fcu, form=d'amateurs et jardin"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"html"	"4199"	"P."	"rier), Prunus spp. ("	"prunier, cerisier, abricotier"	"prunier , cerisier , abricotier"	""	", pêcher ), Citrus s"	"21305-21334"	"type=N_PUN_N, match=fcu, form=prunier, cerisier, abricotier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/13_HORTI_Als_cle02386b.html"	"html"	"973"	"P."	"les voir telles que"	"les poinsettias et les pensées"	"le poinsettia et le pensée"	""	". Thrips, pupes d'al"	"4159-4189"	"type=N_KON_N, match=fcu, form=les poinsettias et les pensées"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/13_HORTI_Als_cle02386b.html"	"html"	"973"	"P."	"diverses telles que"	"géranium, impatiens, chrysanthème"	"géranium , impatiens , chrysanthème"	""	", etc., et ce, malgr"	"4543-4576"	"type=N_PUN_N, match=fcu, form=géranium, impatiens, chrysanthème"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/19bsv_jevi_20181108_cle871314.html"	"html"	"2055"	"P."	"des jardins privés,"	"parcs, espaces"	"parc , espace"	""	"publics, Il faut êt"	"3116-3130"	"type=N_PUN_N, match=fcu, form=parcs, espaces"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2015-05-28_BSV_Grandes_Cultures_01_cle8ba414.html"	"html"	"6079"	"P."	"UX page 17 Stades :"	"Pois, Féverole"	"pois , féverole"	""	": Début Floraison T"	"949-963"	"type=N_PUN_N, match=fcu, form=Pois, Féverole"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_10_sem21_cle8d2aee.html"	"html"	"3449"	"P."	"ns le nord Cotentin."	"Carotte, céleri, persil"	"carotte , céleri , persil"	""	": toujours des capt"	"847-870"	"type=N_PUN_N, match=fcu, form=Carotte, céleri, persil"
