"bsv"	"type"	"length"	"context before"	"form"	"prefLabel"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"html"	"2478"	"t plantes parasites"	"Tabac"	"tabac"	"Quelques serres ont"	"469-474"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tabac, skos-prefLabel=tabac, form=Tabac"
"01_TB_Als_cle8c6253"	"html"	"2478"	"d'éparpiller de la"	"paille"	"céréale à paille"	", du miscanthus broy"	"1613-1619"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=paille"
"01_TB_Als_cle8c6253"	"html"	"2478"	"er de la paille, du"	"miscanthus"	"miscanthus"	"broyé ou des cendre"	"1624-1634"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Miscanthus_industriels, skos-prefLabel=miscanthus, form=miscanthus"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"15 Grandes cultures"	"ORGE"	"orge"	"Sur les 12 parcelle"	"56-60"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=ORGE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"es feuilles. Oïdium"	"ORGE"	"orge"	"On observe de façon"	"348-352"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=ORGE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"NIES SUR CEREALES A"	"PAILLE"	"céréale à paille"	"Les températures cl"	"580-586"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=PAILLE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"argement profité au"	"blé"	"blé"	". Le redressement a"	"662-665"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=blé"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"écoces. Oscinie sur"	"céréales à paille"	"céréale à paille"	"Des dégâts d'oscini"	"810-827"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=céréales à paille"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"et une parcelle de"	"blé"	"blé"	"du réseau. Ces dégâ"	"910-913"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=blé"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"écocement. Comme en"	"maïs"	"maïs"	", les attaques d'osc"	"1006-1010"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"lage important : la"	"céréale"	"céréale"	"prend l'aspect d'un"	"1147-1154"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=céréale"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"prend l'aspect d'un"	"poireau"	"poireau"	". En fendant le pied"	"1175-1182"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Poireaux, skos-prefLabel=poireau, form=poireau"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ler pondre dans les"	"maïs"	"maïs"	". L'intensité des at"	"1389-1393"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"t plus faible qu'en"	"maïs"	"maïs"	". Maladies Sur certa"	"1551-1555"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"lles contaminations"	"COLZA"	"colza"	"Stades Ravageurs An"	"1834-1839"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"l Union. Symptôme """	"poireau"	"poireau"	""" Larve dans une pl"	"2173-2180"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Poireaux, skos-prefLabel=poireau, form=poireau"
