"bsv"	"type"	"length"	"context before"	"form"	"prefLabel"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"html"	"2478"	"ns : plus de 95% de"	"graines"	"chanvre oléagineux"	"germées ce qui lais"	"192-199"	"IRI=http://ontology.inrae.fr/frenchcropusage/Chanvres_oleagineux, tomap-candidate-head=graines, tomap-concept-synonym=graine de chanvre, tomap-significant-head=graines, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, form=graines"
"01_TB_Als_cle8c6253"	"html"	"2478"	"t plantes parasites"	"Tabac"	"tabac"	"Quelques serres ont"	"469-474"	"IRI=http://ontology.inrae.fr/frenchcropusage/Tabac, tomap-classifier=exact, similarity=1.0, skos-prefLabel=tabac, skos-prefLabel=tabac, skos-prefLabel=tabac, form=Tabac"
"01_TB_Als_cle8c6253"	"html"	"2478"	"d'éparpiller de la"	"paille"	"céréale à paille"	", du miscanthus broy"	"1613-1619"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, form=paille"
"05_GC_Als_cle8c3f61"	"html"	"4795"	""	"Grandes cultures"	"grande culture"	"N°5 du 24 mars 201"	"1-17"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, form=Grandes cultures"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"N°5 du 24 mars 2015"	"Grandes cultures
ORGE"	"orge de printemps"	"Sur les 12 parcelle"	"39-60"	"IRI=http://ontology.inrae.fr/frenchcropusage/Orges_printemps, tomap-candidate-head=culture, tomap-concept-synonym=orge de printemps à deux rangs, tomap-significant-head=Orge, tomap-classifier=head, similarity=0.16666666666666666, skos-prefLabel=orge de printemps, skos-prefLabel=orge de printemps, skos-prefLabel=orge de printemps, skos-prefLabel=orge de printemps, form=Grandes cultures
ORGE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"es feuilles. Oïdium"	"ORGE"	"orge"	"On observe de façon"	"348-352"	"IRI=http://ontology.inrae.fr/frenchcropusage/Orges, tomap-classifier=exact, similarity=1.0, skos-prefLabel=orge, form=ORGE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"NIES SUR CEREALES A"	"PAILLE"	"céréale à paille"	"Les températures cl"	"580-586"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, form=PAILLE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"argement profité au"	"blé"	"blé"	". Le redressement a"	"662-665"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, form=blé"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"écoces. Oscinie sur"	"céréales à paille"	"céréale à paille"	"Des dégâts d'oscini"	"810-827"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, form=céréales à paille"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"et une parcelle de"	"blé"	"blé"	"du réseau. Ces dégâ"	"910-913"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, form=blé"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"écocement. Comme en"	"maïs"	"maïs"	", les attaques d'osc"	"1006-1010"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"lage important : la"	"céréale"	"céréale"	"prend l'aspect d'un"	"1147-1154"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale, skos-prefLabel=céréale, skos-prefLabel=céréale, form=céréale"
"05_GC_Als_cle8c3f61"	"html"	"4795"	": la céréale prend"	"l'aspect d'un poireau"	"poireau"	". En fendant le pied"	"1161-1182"	"IRI=http://ontology.inrae.fr/frenchcropusage/Poireaux, tomap-candidate-head=poireau, tomap-concept-synonym=poireau, tomap-significant-head=poireau, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=poireau, form=l'aspect d'un poireau"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ed, on y trouve une"	"petite"	"petit fruit"	"larve. Ces attaques"	"1220-1226"	"IRI=http://ontology.inrae.fr/frenchcropusage/Petits_fruits, tomap-classifier=exact, similarity=1.0, skos-prefLabel=petit fruit, skos-prefLabel=petit fruit, form=petite"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ler pondre dans les"	"maïs"	"maïs"	". L'intensité des at"	"1389-1393"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"t plus faible qu'en"	"maïs"	"maïs"	". Maladies Sur certa"	"1551-1555"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"lles contaminations"	"COLZA
Stades"	"colza de printemps"	"Ravageurs Animateur"	"1834-1846"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=Colza, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=COLZA
Stades"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"l Union. Symptôme """	"poireau"	"poireau"	""" Larve dans une pl"	"2173-2180"	"IRI=http://ontology.inrae.fr/frenchcropusage/Poireaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=poireau, form=poireau"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"TIAN de printemps."	"COLZA
Stade"	"colza de printemps"	"Toutes les parcelle"	"2368-2379"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=Colza, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=COLZA
Stade"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ançon de la tige du"	"colza"	"colza"	"Le vol qui a débuté"	"2797-2802"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=colza"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"t vigoureux Etat du"	"colza
Stade"	"colza de printemps"	"boutons accolés (D1"	"3832-3843"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=Colza, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=colza
Stade"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"à 9 méligèthes par"	"plante
Colza"	"colza de printemps"	"handicapé, peu vigo"	"4007-4019"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=plantes, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.5, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=plante
Colza"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"ACTUALITÉS"	"JARDINS ORNEMENTAUX"	"zone non agricole"	"BuisPsylle : présen"	"13-32"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=JARDINS ORNEMENTAUX"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"âts en augmentation"	"Rosier"	"rosier"	"Aphrophore - cicade"	"150-156"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, form=Rosier"
