,proposal,label,cosine similarity
68379,abutillon,valériane des petites feuilles,0.9923089742660522
67430,abutillon,millet perle,0.9922869205474854
67133,abutillon,abricotier des antilles,0.9922604560852052
67851,abutillon,grande gentiane,0.9922052025794984
68059,abutillon,ache des marais,0.99213844537735
77104,ambroisie,jachère conjoncturelle,0.9884634613990784
77106,ambroisie,jachère noire,0.987927794456482
76971,ambroisie,millepertuis officinale,0.987704873085022
76468,ambroisie,mélisse officinale,0.987016499042511
76985,ambroisie,valériane officinale,0.9868443012237548
214241,amélanchier,rosier odorant,0.993474543094635
213616,amélanchier,pamplemoussier,0.992668092250824
214736,amélanchier,petit trèfle,0.9922610521316528
214646,amélanchier,grande mauve,0.9917938709259032
214399,amélanchier,luzerne batarde,0.991694152355194
71805,asparagus,mauve sylvestre,0.9968298077583312
71854,asparagus,pivoine arbustive,0.996377170085907
71789,asparagus,cynorhodon,0.9963006377220154
71790,asparagus,cynorrhodon,0.9962782859802246
70599,asparagus,bigarreaux,0.9961977005004884
135901,aubépine,hibiscus,0.9943729043006896
134651,aubépine,saule,0.994288206100464
135482,aubépine,mauve sylvestre,0.9942597150802612
134644,aubépine,tilleul,0.994252622127533
135467,aubépine,cynorrhodon,0.9939720630645752
91446,bambou,figuier,0.9973691701889038
91418,bambou,blonde,0.9973358511924744
92280,bambou,topinambour,0.9969229698181152
92471,bambou,valériane,0.996518075466156
92467,bambou,liane de grenade,0.9964340925216676
245978,belchard,lupuline,0.9943437576293944
245256,belchard,cameline,0.9942745566368104
244459,belchard,reine claude,0.9934311509132384
244802,belchard,jules guyot,0.9928184151649476
245640,belchard,valériane,0.992790699005127
60054,beurre,laitue beurre,0.9955368638038636
60006,beurre,haricot beurre,0.9951538443565368
59681,beurre,doubeurre,0.9937754273414612
60050,beurre,laitue beurre pommée,0.990964651107788
59618,beurre,chicorée frisée,0.9903022646903992
202849,beurré,haricot beurre,0.9927865862846376
202897,beurré,laitue beurre,0.9923147559165956
202524,beurré,doubeurre,0.9919476509094238
202109,beurré,romarin,0.9888980984687804
202893,beurré,laitue beurre pommée,0.9888500571250916
151873,boskoop,poire à cidre,0.992508590221405
152322,boskoop,cameline,0.9924911260604858
151879,boskoop,golden,0.9919906854629515
151765,boskoop,sarrasin,0.9917795658111572
151525,boskoop,reine claude,0.9917096495628356
182118,bougainvillée,lentille blonde,0.9930524826049804
181112,bougainvillée,bouleau,0.9930339455604552
180973,bougainvillée,oignon doux des cévennes,0.992778778076172
181645,bougainvillée,ache des marais,0.9922882914543152
181016,bougainvillée,millet perle,0.992099940776825
24596,bruxelles,chou de bruxelles,0.9949957728385924
25249,bruxelles,chou cabus,0.993695855140686
24599,bruxelles,chou chinois,0.993582248687744
24653,bruxelles,chou romanesco,0.9934751987457277
25256,bruxelles,chou cabus vert,0.9929702877998352
77932,brède morelle,brède,0.99655944108963
77991,brède morelle,brède épinard,0.9963603615760804
78036,brède morelle,brède chouchou,0.9958277940750122
78263,brède morelle,chicorée industrielle,0.9937790036201476
78638,brède morelle,sénevé noire,0.993597686290741
239578,bulbille,vanille,0.9946466684341432
240775,bulbille,lentille,0.9940637946128844
240436,bulbille,camomille,0.994018018245697
239337,bulbille,grenadille,0.99401593208313
240714,bulbille,cornille,0.9930501580238342
224396,bulbille d alliums,oignon d espagne,0.997002363204956
224005,bulbille d alliums,oignon de semis,0.996790885925293
223994,bulbille d alliums,échalote de plantation,0.9967142343521118
225281,bulbille d alliums,échalote cuisse de poulet,0.9963751435279846
223997,bulbille d alliums,oignon de couleur,0.9960886240005492
232610,bulbille d oignon,oignon de semis,0.9974563121795654
233001,bulbille d oignon,oignon d espagne,0.9973252415657043
232602,bulbille d oignon,oignon de couleur,0.997136414051056
232599,bulbille d oignon,échalote de plantation,0.9970802068710328
233886,bulbille d oignon,échalote cuisse de poulet,0.9964588284492492
234321,bulbille oignon,oignon,0.99784654378891
234325,bulbille oignon,oignon jaune,0.9952563047409058
234332,bulbille oignon,oignon précoce,0.995101809501648
234322,bulbille oignon,oignon blanc,0.9950979948043824
234316,bulbille oignon,échalote,0.9949337244033812
108740,buxus sempervirens,sarrasin,0.9974691867828368
108461,buxus sempervirens,bigarreaux,0.997459888458252
108628,buxus sempervirens,blonde,0.9974188208580016
108510,buxus sempervirens,nèfle du japon,0.9972864389419556
109102,buxus sempervirens,estragon,0.9972739219665528
129280,bégonia,blonde,0.9969485998153688
129308,bégonia,figuier,0.9968629479408264
129113,bégonia,bigarreaux,0.9966235756874084
129168,bégonia,citron combera,0.9963921904563904
130319,bégonia,mauve sylvestre,0.9962655305862428
