"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"d2kab"	"feuilles étalées"	"feuille étalé"	""	"du stade semis à 3"	". Les semis sont enc"	"729-745"	"2545"	"type=Baggiolini, canonical-form=E, form=feuilles étalées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181002_bsv_grandes_cultures_29_cle0423a6.html"	"d2kab"	"feuilles étalées"	"feuille étalé"	""	"tade 3 feuilles à 7"	". Une majorité des p"	"1512-1528"	"2438"	"type=Baggiolini, canonical-form=E, form=feuilles étalées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"feuilles étalées"	"feuille étalé"	""	"euilles à plus de 9"	". Stades des parcell"	"8686-8702"	"4407"	"type=Baggiolini, canonical-form=E, form=feuilles étalées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db.html"	"d2kab"	"stade E"	"stade E"	""	"ptes à la ponte. Le"	"marque la fin du ri"	"1365-1372"	"1021"	"type=Baggiolini, canonical-form=E, form=stade E"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db.html"	"d2kab"	"stade E"	"stade E"	""	"ptes à la ponte. Le"	"marque la fin du ri"	"1765-1772"	"1021"	"type=Baggiolini, canonical-form=E, form=stade E"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8.html"	"d2kab"	"stade E"	"stade E"	""	"ptes à la ponte. Le"	"marque la fin du ri"	"1296-1303"	"1021"	"type=Baggiolini, canonical-form=E, form=stade E"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8.html"	"d2kab"	"stade E"	"stade E"	""	"ptes à la ponte. Le"	"marque la fin du ri"	"1696-1703"	"1021"	"type=Baggiolini, canonical-form=E, form=stade E"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"floraison"	"floraison"	""	"jusqu'à l'entrée en"	". Dans le cas généra"	"6439-6448"	"2644"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"floraison"	"floraison"	""	"à rentrer en pleine"	". Les seuils"	"6579-6588"	"2644"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"stade E"	"stade E"	""	"ervention. Attendre"	"avant d'intervenir,"	"7043-7050"	"2644"	"type=Baggiolini, canonical-form=E, form=stade E"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"floraison"	"floraison"	""	"variété de colza à"	"très précoce avec l"	"8064-8073"	"2644"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"floraison"	"floraison"	""	"e et plus précoce à"	"(environ 15 jours),"	"8221-8230"	"2644"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"tion du stade début"	". Méligèthes : La pé"	"229-238"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"elles est entrée en"	". Durant toute la pé"	"718-727"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"toute la période de"	", il est important d"	"756-765"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"la précocité de la"	"de la variété culti"	"1252-1261"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"s pièges (variété à"	"précoce) car cela c"	"2124-2133"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"jusqu'à l'entrée en"	". Dans le cas généra"	"2369-2378"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"floraison"	"floraison"	""	"à rentrer en pleine"	". Les seuils de nuis"	"2509-2518"	"2386"	"type=Baggiolini, canonical-form=I, form=floraison"
