"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db.html"	"d2kab"	"BBCH31"	"BBCH31"	""	", avec le stade C2 ("	") majoritaire sur ce"	"905-911"	"1021"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db.html"	"d2kab"	"BBCH31"	"BBCH31"	""	", avec le stade C2 ("	") majoritaire sur ce"	"905-911"	"1021"	"type=?BBCH?, form=BBCH31"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"ée est au stade D1 ("	") c'est-à-dire avec"	"949-955"	"1021"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"ée est au stade D1 ("	") c'est-à-dire avec"	"949-955"	"1021"	"type=?BBCH?, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"boutons accolés(D1-"	") 1 méligèthe/plante"	"6951-6957"	"2644"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"boutons accolés(D1-"	") 1 méligèthe/plante"	"6951-6957"	"2644"	"type=?BBCH?, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"BBCH57"	"BBCH57"	""	"e boutons séparés(E-"	") 2-3 méligèthes/pla"	"7120-7126"	"2644"	"type=BBCH, canonical-form=BBCH 57, form=BBCH57"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"BBCH57"	"BBCH57"	""	"e boutons séparés(E-"	") 2-3 méligèthes/pla"	"7120-7126"	"2644"	"type=?BBCH?, form=BBCH57"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"outons accolés (D1)"	"1 méligèthe/plante"	"2840-2846"	"2386"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"outons accolés (D1)"	"1 méligèthe/plante"	"2840-2846"	"2386"	"type=?BBCH?, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"BBCH 57"	"BBCH @card@"	""	"boutons séparés (E)"	"2-3 méligèthes/plan"	"3010-3017"	"2386"	"type=BBCH-DD, canonical-form=BBCH 57, form=BBCH 57"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"BBCH"	"BBCH"	""	"boutons séparés (E)"	"57 2-3 méligèthes/p"	"3010-3014"	"2386"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_ALS_BSV_Grandes_Cultures_cle8c93cf.html"	"d2kab"	"BBCH"	"BBCH"	""	"boutons séparés (E)"	"57 2-3 méligèthes/p"	"3010-3014"	"2386"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_CHA_BSV_Grandes_Cultures_cle8333d7.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"boutons accolés (D1-"	") 1 méligèthe/plante"	"9607-9613"	"3588"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190417_CHA_BSV_Grandes_Cultures_cle8333d7.html"	"d2kab"	"BBCH50"	"BBCH50"	""	"boutons accolés (D1-"	") 1 méligèthe/plante"	"9607-9613"	"3588"	"type=?BBCH?, form=BBCH50"
