"bsv"	"context"	"word"	"context"	"location"	"features"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	", avec le stade C2 ("	"BBCH31"	") majoritaire sur ce"	"905-911"	"type=BBCH, form=BBCH31"
"20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8"	"ée est au stade D1 ("	"BBCH50"	") c'est-à-dire avec"	"949-955"	"type=BBCH, form=BBCH50"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"boutons accolés(D1-"	"BBCH50"	") 1 méligèthe/plante"	"6951-6957"	"type=BBCH, form=BBCH50"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"e boutons séparés(E-"	"BBCH57"	") 2-3 méligèthes/pla"	"7120-7126"	"type=BBCH, form=BBCH57"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"outons accolés (D1)"	"BBCH50"	"1 méligèthe/plante"	"2840-2846"	"type=BBCH, form=BBCH50"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"boutons séparés (E)"	"BBCH 57"	"2-3 méligèthes/plan"	"3010-3017"	"type=BBCH, form=BBCH 57"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"boutons accolés (D1-"	"BBCH50"	") 1 méligèthe/plante"	"9607-9613"	"type=BBCH, form=BBCH50"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"compris entre F2 ="	"BBCH 61"	"(allongement de la"	"10702-10709"	"type=BBCH, form=BBCH 61"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"s ouvertes) et G4 ="	"BBCH 73"	"(Floraison terminée"	"10780-10787"	"type=BBCH, form=BBCH 73"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"lédons étalés (A2 ="	"BBCH 10"	") et deuxième paire"	"20832-20839"	"type=BBCH, form=BBCH 10"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"es étalées (B3 B4 ="	"BBCH 14"	"). Les parcelles les"	"20888-20895"	"type=BBCH, form=BBCH 14"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"e de la levée (A0 ="	"BBCH 01"	") à 4 feuilles (B3/4"	"21340-21347"	"type=BBCH, form=BBCH 01"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"4 feuilles (B3/4 ="	"BBCH 14"	"). a. Limaces Des dé"	"21370-21377"	"type=BBCH, form=BBCH 14"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"4 feuilles (B3-B4 ="	"BBCH 14"	") à boutons étoilé ("	"23827-23834"	"type=BBCH, form=BBCH 14"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"outons étoilé (E1 ="	"BBCH 51"	"). Le seuil indicati"	"23859-23866"	"type=BBCH, form=BBCH 51"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"le est au stade G3 ("	"BBCH72"	"). Retrouver les dif"	"1916-1922"	"type=BBCH, form=BBCH72"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"les étalées (B1 B2="	"BBCH 12"	") et l'apparition de"	"19982-19989"	"type=BBCH, form=BBCH 12"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"4 feuilles (B3/4 ="	"BBCH 14"	"). a. Limaces Des dé"	"20345-20352"	"type=BBCH, form=BBCH 14"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"4 feuilles (B3-B4 ="	"BBCH 14"	") à boutons étoilé ("	"22383-22390"	"type=BBCH, form=BBCH 14"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"outons étoilé (E1 ="	"BBCH 51"	"). Le seuil indicati"	"22415-22422"	"type=BBCH, form=BBCH 51"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"tylédon (stade A ou"	"BBCH 10"	") ;- 1 parcelle à 1"	"933-940"	"type=BBCH, form=BBCH 10"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"vraie (stade B1 ou"	"BBCH 11"	") ;- 3 parcelles à 2"	"987-994"	"type=BBCH, form=BBCH 11"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"vraies (stade B2 ou"	"BBCH 12"	") ;- 5 parcelles à 3"	"1044-1051"	"type=BBCH, form=BBCH 12"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"vraies (stade B3 ou"	"BBCH 13"	") ;- 1 parcelle à 4"	"1101-1108"	"type=BBCH, form=BBCH 13"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"vraies (stade B4 ou"	"BBCH 14"	"). Ravageurs Altises"	"1157-1164"	"type=BBCH, form=BBCH 14"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"tylédon (stade A ou"	"BBCH 10"	") ; 2 parcelles à 3"	"1057-1064"	"type=BBCH, form=BBCH 10"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"vraies (stade B3 ou"	"BBCH 13"	") ; 3 parcelles à 6"	"1113-1120"	"type=BBCH, form=BBCH 13"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"vraies (stade B6 ou"	"BBCH 16"	") ; 1 parcelle à 7 f"	"1169-1176"	"type=BBCH, form=BBCH 16"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"vraies (stade B7 ou"	"BBCH 17"	"). Ravageurs Altises"	"1224-1231"	"type=BBCH, form=BBCH 17"
"20191114_BSV_grandes_cultures_Rhone-Alpes_N32_cle05361b"	"6 feuilles vraies ("	"BBCH 16"	") et 10 feuilles vra"	"419-426"	"type=BBCH, form=BBCH 16"
"BSV_28-19_cereales_Normandie_R2015_cle8e8112"	"de, selon l'échelle"	"BBCH"	". Mais la codificati"	"3041-3045"	"type=BBCH, form=BBCH"
