"bsv"	"context"	"word"	"context"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"tion des captures,>"	"le stade de la culture,
>"	"la vigueur et la ca"	"2564-2589"	"type=N_PUN_N, form=le stade de la culture,
>"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"1 Pluri-annuelles ("	"prairies, jachères"	") 5 Colza/Blé Maïs/"	"4028-4046"	"type=N_PUN_N, form=prairies, jachères"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"protection de leurs"	"cultures et les invite"	"à prendre ces décis"	"12594-12616"	"type=N_KON_N, form=cultures et les invite"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"tion des captures,>"	"le stade de la culture,
>"	"la vigueur et la ca"	"2955-2980"	"type=N_PUN_N, form=le stade de la culture,
>"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"protection de leurs"	"cultures et les invite"	"à prendre ces décis"	"12406-12428"	"type=N_KON_N, form=cultures et les invite"
"20181106_bsv_grandes_cultures_34_cle08159b"	"7 feuilles Enquête"	"Tournesol et oiseaux"	"Céréales à paille L"	"675-695"	"type=N_KON_N, form=Tournesol et oiseaux"
"20181106_bsv_grandes_cultures_34_cle08159b"	", conditions météo,"	"vigueur et stade de la culture"	", présence d'auxilia"	"5429-5459"	"type=N_KON_N, form=vigueur et stade de la culture"
"20181106_bsv_grandes_cultures_34_cle08159b"	"L Baris Du point de"	"vue des maladies, les colzas"	"sont très sains. Qu"	"9623-9651"	"type=N_PUN_N, form=vue des maladies, les colzas"
"20181106_bsv_grandes_cultures_34_cle08159b"	"protection de leurs"	"cultures et les invite"	"à prendre ces décis"	"21731-21753"	"type=N_KON_N, form=cultures et les invite"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	". BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"1032-1048"	"type=N_PUN_N, form=Cultures, région"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	". BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"2708-2724"	"type=N_PUN_N, form=Cultures, région"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	". BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"3742-3758"	"type=N_PUN_N, form=Cultures, région"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	". BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"5484-5500"	"type=N_PUN_N, form=Cultures, région"
"20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8"	"re BSV n°02, Grande"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"552-568"	"type=N_PUN_N, form=Cultures, région"
"20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8"	". BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"2025-2041"	"type=N_PUN_N, form=Cultures, région"
"20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8"	". BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"3415-3431"	"type=N_PUN_N, form=Cultures, région"
"20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8"	"e BSV n°02, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"4044-4060"	"type=N_PUN_N, form=Cultures, région"
