"bsv"	"type"	"length"	"header"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	"html"	"5558"	""	", avec le stade C2 ("	"BBCH31"	"BBCH31"	""	") majoritaire sur ce"	"905-911"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"20190228_BSV_grandes_cultures_Rhone-Alpes_N_02_cle46d5a8"	"html"	"5449"	""	"ée est au stade D1 ("	"BBCH50"	"BBCH50"	""	") c'est-à-dire avec"	"949-955"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"html"	"12851"	""	"boutons accolés(D1-"	"BBCH50"	"BBCH50"	""	") 1 méligèthe/plante"	"6951-6957"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"html"	"12851"	""	"e boutons séparés(E-"	"BBCH57"	"BBCH57"	""	") 2-3 méligèthes/pla"	"7120-7126"	"type=BBCH, canonical-form=BBCH 57, form=BBCH57"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"html"	"10842"	""	"outons accolés (D1)"	"BBCH50"	"BBCH50"	""	"1 méligèthe/plante"	"2840-2846"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"html"	"10842"	""	"boutons séparés (E)"	"BBCH 57"	"BBCH @card@"	""	"2-3 méligèthes/plan"	"3010-3017"	"type=BBCH-DD, canonical-form=BBCH 57, form=BBCH 57"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"html"	"17409"	""	"boutons accolés (D1-"	"BBCH50"	"BBCH50"	""	") 1 méligèthe/plante"	"9607-9613"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"compris entre F2 ="	"BBCH 61"	"BBCH @card@"	""	"(allongement de la"	"10702-10709"	"type=BBCH-DD, canonical-form=BBCH 61, form=BBCH 61"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"s ouvertes) et G4 ="	"BBCH 73"	"BBCH @card@"	""	"(Floraison terminée"	"10780-10787"	"type=BBCH-DD, canonical-form=BBCH 73, form=BBCH 73"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"lédons étalés (A2 ="	"BBCH 10"	"BBCH @card@"	""	") et deuxième paire"	"20832-20839"	"type=BBCH-DD, canonical-form=BBCH 10, form=BBCH 10"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"es étalées (B3 B4 ="	"BBCH 14"	"BBCH @card@"	""	"). Les parcelles les"	"20888-20895"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"e de la levée (A0 ="	"BBCH 01"	"BBCH @card@"	""	") à 4 feuilles (B3/4"	"21340-21347"	"type=BBCH-DD, canonical-form=BBCH 01, form=BBCH 01"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"4 feuilles (B3/4 ="	"BBCH 14"	"BBCH @card@"	""	"). a. Limaces Des dé"	"21370-21377"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"4 feuilles (B3-B4 ="	"BBCH 14"	"BBCH @card@"	""	") à boutons étoilé ("	"23827-23834"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"26483"	""	"outons étoilé (E1 ="	"BBCH 51"	"BBCH @card@"	""	"). Le seuil indicati"	"23859-23866"	"type=BBCH-DD, canonical-form=BBCH 51, form=BBCH 51"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"html"	"25116"	""	"le est au stade G3 ("	"BBCH72"	"BBCH72"	""	"). Retrouver les dif"	"1916-1922"	"type=BBCH, canonical-form=BBCH 72, form=BBCH72"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"html"	"25125"	""	"les étalées (B1 B2="	"BBCH 12"	"BBCH @card@"	""	") et l'apparition de"	"19982-19989"	"type=BBCH-DD, canonical-form=BBCH 12, form=BBCH 12"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"html"	"25125"	""	"4 feuilles (B3/4 ="	"BBCH 14"	"BBCH @card@"	""	"). a. Limaces Des dé"	"20345-20352"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
