"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"2432"	"FIGURE. FIGCAPTION."	"1 Pluri-annuelles ("	"prairies, jachères"	"prairie , jachère"	""	") 5 Colza/Blé Maïs/"	"4028-4046"	"type=N_PUN_N, match=fcu, form=prairies, jachères"
"20181106_bsv_grandes_cultures_34_cle08159b"	"html"	"4228"	"FIGURE. FIGCAPTION."	"7 feuilles Enquête"	"Tournesol et oiseaux"	"tournesol et oiseau"	""	"Céréales à paille L"	"675-695"	"type=N_KON_N, match=fcu, form=Tournesol et oiseaux"
"20181106_bsv_grandes_cultures_34_cle08159b"	"html"	"4228"	"P."	"L Baris Du point de"	"vue des maladies, les colzas"	"vue du maladie , le colza"	""	"sont très sains. Qu"	"9623-9651"	"type=N_PUN_N, match=fcu, form=vue des maladies, les colzas"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"html"	"2493"	"P. SMALL."	"aison démarrée pour"	"les blés et orges"	"le blé et orges"	""	"d'hiver Colza ....."	"240-257"	"type=N_KON_N, match=fcu, form=les blés et orges"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"html"	"2493"	"P."	"isque méligèthe. En"	"effet, l'apparition des fleurs"	"effet , l'apparition du fleur"	""	"de la variété plus"	"8337-8367"	"type=N_PUN_N, match=fcu, form=effet, l'apparition des fleurs"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"html"	"2268"	"P. SMALL."	"celle en prenant en"	"compte, le stade, la vigueur du colza"	"compte , le stade , le vigueur du colza"	""	"ainsi que le niveau"	"3803-3840"	"type=N_PUN_N, match=fcu, form=compte, le stade, la vigueur du colza"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"html"	"2268"	"P."	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza , tournesol , soja , pois"	""	") Les attaques rece"	"4362-4390"	"type=N_PUN_N, match=fcu, form=colza, tournesol, soja, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"html"	"3430"	"P."	"ritaire 1 Nœud pour"	"les blés, stade"	"le blé , stade"	""	"1-2 Nœuds pour les"	"226-241"	"type=N_PUN_N, match=fcu, form=les blés, stade"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"html"	"3430"	"P."	"a dans la rotation ("	"colza, tournesol, pois"	"colza , tournesol , pois"	""	") ;- les conditions"	"11849-11871"	"type=N_PUN_N, match=fcu, form=colza, tournesol, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"html"	"3430"	"P."	"maladie. En cas de"	"contamination du colza, l'application"	"contamination du colza , l'application"	""	"d'un produit de bio"	"12477-12514"	"type=N_PUN_N, match=fcu, form=contamination du colza, l'application"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"html"	"3430"	"P."	"de biocontrôle sur"	"les pailles et chaumes"	"le paille et chaume"	""	"permet de faire dim"	"12547-12569"	"type=N_KON_N, match=fcu, form=les pailles et chaumes"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"html"	"3430"	"P."	"a. Observations Sur"	"pois et féverole"	"pois et féverole"	""	", des encoches sont"	"13692-13708"	"type=N_KON_N, match=fcu, form=pois et féverole"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"5241"	"P."	"rnière feuille pour"	"les blés et apparition des barbes"	"le blé et apparition du barbe"	""	"pour les orges d'hi"	"215-248"	"type=N_KON_N, match=fcu, form=les blés et apparition des barbes"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"5241"	"P."	"iser les colzas. En"	"effet, les colzas"	"effet , le colza"	""	"présentent une fort"	"11195-11212"	"type=N_PUN_N, match=fcu, form=effet, les colzas"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"5241"	"P."	"cette campagne. En"	"effet, le colza"	"effet , le colza"	""	"a une forte capacit"	"11700-11715"	"type=N_PUN_N, match=fcu, form=effet, le colza"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"html"	"5241"	"P."	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza , tournesol , soja , pois"	""	")- Les attaques rec"	"16410-16438"	"type=N_PUN_N, match=fcu, form=colza, tournesol, soja, pois"
