"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"1 Pluri-annuelles ("	"prairies, jachères"	"prairies, jachères"	"prairies ( prairie ) =http://ontology.inrae.fr/frenchcropusage/Prairies, jachères ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	") 5 Colza/Blé Maïs/"	"4028-4046"	"type=N_PUN_N, match=fcu, form=prairies, jachères"
"20181106_bsv_grandes_cultures_34_cle08159b"	"7 feuilles Enquête"	"Tournesol et oiseaux"	" et oiseaux"	"Tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"Céréales à paille L"	"675-695"	"type=N_KON_N, match=fcu, form=Tournesol et oiseaux"
"20181106_bsv_grandes_cultures_34_cle08159b"	"L Baris Du point de"	"vue des maladies, les colzas"	"vue des maladies, les "	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"sont très sains. Qu"	"9623-9651"	"type=N_PUN_N, match=fcu, form=vue des maladies, les colzas"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"aison démarrée pour"	"les blés et orges"	"les  et orges"	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"d'hiver Colza ....."	"240-257"	"type=N_KON_N, match=fcu, form=les blés et orges"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"isque méligèthe. En"	"effet, l'apparition des fleurs"	"effet, l'apparition des "	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"de la variété plus"	"8337-8367"	"type=N_PUN_N, match=fcu, form=effet, l'apparition des fleurs"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"celle en prenant en"	"compte, le stade, la vigueur du colza"	"compte, le stade, la vigueur du "	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"ainsi que le niveau"	"3803-3840"	"type=N_PUN_N, match=fcu, form=compte, le stade, la vigueur du colza"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza, tournesol, soja, pois"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	") Les attaques rece"	"4362-4390"	"type=N_PUN_N, match=fcu, form=colza, tournesol, soja, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ritaire 1 Nœud pour"	"les blés, stade"	"les , stade"	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"1-2 Nœuds pour les"	"226-241"	"type=N_PUN_N, match=fcu, form=les blés, stade"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a dans la rotation ("	"colza, tournesol, pois"	"colza, tournesol, pois"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	") ;- les conditions"	"11849-11871"	"type=N_PUN_N, match=fcu, form=colza, tournesol, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"maladie. En cas de"	"contamination du colza, l'application"	"contamination du , l'application"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"d'un produit de bio"	"12477-12514"	"type=N_PUN_N, match=fcu, form=contamination du colza, l'application"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"de biocontrôle sur"	"les pailles et chaumes"	"les  et chaumes"	"pailles ( céréale à paille ) =http://ontology.inrae.fr/frenchcropusage/Cereales_paille"	"permet de faire dim"	"12547-12569"	"type=N_KON_N, match=fcu, form=les pailles et chaumes"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a. Observations Sur"	"pois et féverole"	"pois et féverole"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	", des encoches sont"	"13692-13708"	"type=N_KON_N, match=fcu, form=pois et féverole"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"iver présentent des"	"symptômes de maladies et dégâts de gel"	"symptômes de maladies et dégâts de "	"gel ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	". Afin de bien diagn"	"14888-14926"	"type=N_KON_N, match=fcu, form=symptômes de maladies et dégâts de gel"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"re les symptômes de"	"dégâts de gel, d'ascochytose"	"dégâts de , d'ascochytose"	"gel ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	"et de bactériose po"	"15031-15059"	"type=N_PUN_N, match=fcu, form=dégâts de gel, d'ascochytose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"rnière feuille pour"	"les blés et apparition des barbes"	"les  et apparition des barbes"	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"pour les orges d'hi"	"215-248"	"type=N_KON_N, match=fcu, form=les blés et apparition des barbes"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"iser les colzas. En"	"effet, les colzas"	"effet, les "	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"présentent une fort"	"11195-11212"	"type=N_PUN_N, match=fcu, form=effet, les colzas"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"cette campagne. En"	"effet, le colza"	"effet, le "	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"a une forte capacit"	"11700-11715"	"type=N_PUN_N, match=fcu, form=effet, le colza"
