"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"ACTUALITÉS"	"Colza"	"colza"	"colza"	"Limaces à surveille"	"13-18"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"es grosses altises."	"Maïs"	"maïs"	"maïs"	"Compter les larves"	"151-155"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"ion 12 parcelles de"	"colza"	"colza"	"colza"	"sont renseignées ce"	"469-474"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P. SMALL."	"es des parcelles de"	"colza"	"colza"	"colza"	"du réseau(en % du t"	"818-823"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P. SMALL."	"tal de parcelles de"	"colza"	"colza"	"colza"	"observées) sem 37 1"	"864-869"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"amique de pousse du"	"colza"	"colza"	"colza"	". RÉSEAU DE SURVEIL"	"3518-3523"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"rayeuse 1 Sableux 0"	"Colza"	"colza"	"colza"	"6 Céréales d'hiver"	"3947-3952"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"1 Sableux 0 Colza 6"	"Céréales"	"céréale"	"céréale"	"d'hiver 4 Le précéd"	"3955-3963"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=Céréales"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"1 Pluri-annuelles ("	"prairies"	"prairie"	"prairie"	", jachères ) 5 Colza"	"4028-4036"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, form=prairies"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"nnuelles (prairies,"	"jachères"	"jachère"	"gel"	") 5 Colza/Blé Maïs/"	"4038-4046"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=jachères"
