"bsv"	"type"	"length"	"context before"	"form"	"prefLabel"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"ACTUALITÉS"	"Colza"	"colza"	"Limaces à surveille"	"13-18"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"vée pour suivre les"	"petites"	"petit fruit"	"et les grosses alti"	"119-126"	"IRI=http://ontology.inrae.fr/frenchcropusage/Petits_fruits, tomap-classifier=exact, similarity=1.0, skos-prefLabel=petit fruit, skos-prefLabel=petit fruit, form=petites"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"es grosses altises."	"Maïs"	"maïs"	"Compter les larves"	"151-155"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"AYS DE LA LOIRE BSV"	"GRANDES CULTURES"	"grande culture"	"-DU 11 SEPTEMBRE N °"	"305-321"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, form=GRANDES CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"ion 12 parcelles de"	"colza"	"colza"	"sont renseignées ce"	"469-474"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"es des parcelles de"	"colza"	"colza"	"du réseau(en % du t"	"818-823"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"tal de parcelles de"	"colza"	"colza"	"observées) sem 37 1"	"864-869"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"LA LOIRE Page 2 BSV"	"GRANDES CULTURES"	"grande culture"	"- N°26 DU 11 SEPTEM"	"1554-1570"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, form=GRANDES CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"imatique : le temps"	"sec"	"arbre à fruits à coques"	"annoncé dans les jo"	"1812-1815"	"IRI=http://ontology.inrae.fr/frenchcropusage/Arbres_fruits_coques, tomap-classifier=exact, similarity=1.0, skos-prefLabel=arbre à fruits à coques, skos-prefLabel=arbre à fruits à coques, skos-prefLabel=arbre à fruits à coques, skos-prefLabel=arbre à fruits à coques, skos-prefLabel=arbre à fruits à coques, form=sec"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"oiseaux, reptiles,"	"petits"	"petit fruit"	"mammifères, insecte"	"2784-2790"	"IRI=http://ontology.inrae.fr/frenchcropusage/Petits_fruits, tomap-classifier=exact, similarity=1.0, skos-prefLabel=petit fruit, skos-prefLabel=petit fruit, form=petits"
