"bsv"	"type"	"length"	"context"	"word"	"prefLabel"	"context"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"ACTUALITÉS"	"Colza"	"colza"	"Limaces à surveille"	"13-18"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"es grosses altises."	"Maïs"	"maïs"	"Compter les larves"	"151-155"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"ion 12 parcelles de"	"colza"	"colza"	"sont renseignées ce"	"469-474"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"es des parcelles de"	"colza"	"colza"	"du réseau(en % du t"	"818-823"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"tal de parcelles de"	"colza"	"colza"	"observées) sem 37 1"	"864-869"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"amique de pousse du"	"colza"	"colza"	". RÉSEAU DE SURVEIL"	"3518-3523"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"rayeuse 1 Sableux 0"	"Colza"	"colza"	"6 Céréales d'hiver"	"3947-3952"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"1 Sableux 0 Colza 6"	"Céréales"	"céréale"	"d'hiver 4 Le précéd"	"3955-3963"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=Céréales"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"1 Pluri-annuelles ("	"prairies"	"prairie"	", jachères ) 5 Colza"	"4028-4036"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, form=prairies"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"iries, jachères ) 5"	"Colza"	"colza"	"/Blé Maïs/Tournesol"	"4051-4056"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"jachères ) 5 Colza/"	"Blé"	"blé"	"Maïs/Tournesol La d"	"4057-4060"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=Blé"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"hères ) 5 Colza/Blé"	"Maïs"	"maïs"	"/Tournesol La date d"	"4061-4065"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	") 5 Colza/Blé Maïs/"	"Tournesol"	"tournesol"	"La date d'implantat"	"4066-4075"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=Tournesol"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"2 Tardif 4 Tardif 1"	"Blé"	"blé"	"/orge/prairies 1 Maï"	"4155-4158"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=Blé"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"rdif 4 Tardif 1 Blé/"	"orge"	"orge"	"/prairies 1 Maïs 2 S"	"4159-4163"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=orge"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"4 Tardif 1 Blé/orge/"	"prairies"	"prairie"	"1 Maïs 2 Sensibilit"	"4164-4172"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, form=prairies"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"Blé/orge/prairies 1"	"Maïs"	"maïs"	"2 Sensibilité de la"	"4175-4179"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"lture mise en place"	"Tournesol"	"tournesol"	"4 Colza 6 Beaucoup"	"4222-4231"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=Tournesol"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"n place Tournesol 4"	"Colza"	"colza"	"6 Beaucoup de limac"	"4234-4239"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"12959"	"iennes parcelles de"	"colza"	"colza"	". Petites altises et"	"5549-5554"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
