"bsv"	"type"	"context"	"word"	"prefLabel"	"context"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ACTUALITÉS"	"Colza"	"colza"	"Limaces à surveille"	"13-18"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"es grosses altises."	"Maïs"	"maïs"	"Compter les larves"	"151-155"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"A LOIRE BSV GRANDES"	"CULTURES"	"Culture"	"-DU 11 SEPTEMBRE N °"	"313-321"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ion 12 parcelles de"	"colza"	"colza"	"sont renseignées ce"	"469-474"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"logique et état des"	"cultures"	"Culture"	"Les parcelles du ré"	"672-680"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=cultures"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"es des parcelles de"	"colza"	"colza"	"du réseau(en % du t"	"818-823"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"tal de parcelles de"	"colza"	"colza"	"observées) sem 37 1"	"864-869"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 2 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"1562-1570"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"es,> le stade de la"	"culture"	"Culture"	", > la vigueur et la"	"2579-2586"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"bon démarrage de la"	"culture"	"Culture"	"et ainsi limiter la"	"3063-3070"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"tion du stade de la"	"culture"	"Culture"	", des populations de"	"3345-3352"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"amique de pousse du"	"colza"	"colza"	". RÉSEAU DE SURVEIL"	"3518-3523"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 3 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"3615-3623"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ble pour toutes les"	"cultures"	"Culture"	"Entrez ici votre in"	"3786-3794"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=cultures"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"rayeuse 1 Sableux 0"	"Colza"	"colza"	"6 Céréales d'hiver"	"3947-3952"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"1 Sableux 0 Colza 6"	"Céréales"	"céréale"	"d'hiver 4 Le précéd"	"3955-3963"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=Céréales"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"iver 4 Le précédent"	"Cultures"	"Culture"	"de printemps 1 Plur"	"3987-3995"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=Cultures"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"1 Pluri-annuelles ("	"prairies"	"prairie"	", jachères ) 5 Colza"	"4028-4036"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, form=prairies"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"nnuelles (prairies,"	"jachères"	"gel"	") 5 Colza/Blé Maïs/"	"4038-4046"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=jachères"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"iries, jachères ) 5"	"Colza"	"colza"	"/Blé Maïs/Tournesol"	"4051-4056"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"jachères ) 5 Colza/"	"Blé"	"blé"	"Maïs/Tournesol La d"	"4057-4060"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=Blé"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"hères ) 5 Colza/Blé"	"Maïs"	"maïs"	"/Tournesol La date d"	"4061-4065"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	") 5 Colza/Blé Maïs/"	"Tournesol"	"tournesol"	"La date d'implantat"	"4066-4075"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=Tournesol"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"2 Tardif 4 Tardif 1"	"Blé"	"blé"	"/orge/prairies 1 Maï"	"4155-4158"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=Blé"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"rdif 4 Tardif 1 Blé/"	"orge"	"orge"	"/prairies 1 Maïs 2 S"	"4159-4163"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=orge"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"4 Tardif 1 Blé/orge/"	"prairies"	"prairie"	"1 Maïs 2 Sensibilit"	"4164-4172"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, form=prairies"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Blé/orge/prairies 1"	"Maïs"	"maïs"	"2 Sensibilité de la"	"4175-4179"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"2 Sensibilité de la"	"culture"	"Culture"	"mise en place Tourn"	"4200-4207"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
