"bsv"	"context before"	"date"	"match"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"N°1 du"	"21 avril 2015"	""	"N°1 du 21 avril 20"	"8-21"	"type=DD-MM-YYYY, form=21 avril 2015"
"01_TB_Als_cle8c6253"	"avril 2015 N°1 du"	"21 avril 2015"	""	"s STADE Les premier"	"30-43"	"type=DD-MM-YYYY, form=21 avril 2015"
"01_TB_Als_cle8c6253"	"mis ont démarré fin"	"février"	""	", l'essentiel a été"	"87-94"	"type=MM, form=février"
"01_TB_Als_cle8c6253"	"a été réalisé début"	"mars"	""	". Les pourcentages d"	"128-132"	"type=MM, form=mars"
"01_TB_Als_cle8c6253"	"ce 2 rue de Rome CS"	"30 022"	""	"Schiltigheim 67013S"	"1877-1883"	"type=DD-MM, form=30 022"
"05_GC_Als_cle8c3f61"	"es cultures N°5 du"	"24 mars 2015"	""	"Grandes cultures OR"	"26-38"	"type=DD-MM-YYYY, form=24 mars 2015"
"05_GC_Als_cle8c3f61"	"vol qui a débuté le"	"8 mars"	""	"se poursuit encore"	"2826-2832"	"type=DD-MM, form=8 mars"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE ré"	"996-1000"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"2504-2508"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"2 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"Pyrale : peu de dé"	"2550-2560"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"du BSV JEVI n°3 du"	"28 mars 2019"	""	"L ys Criocère : pr"	"3960-3972"	"type=DD-MM-YYYY, form=28 mars 2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"5023-5027"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"3 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"R osier Réseau d'ob"	"5069-5079"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"sa dans le BSV JEVI"	"2018"	""	"n°4, page 10. F GA"	"6025-6029"	"type=YYYY, form=2018"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"7526-7530"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"4 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"Puceron : présence"	"7572-7582"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"9959-9963"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"5 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"POTAGERS C hou Rése"	"10005-10015"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"12037-12041"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"6 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"É pinard Mineuse :"	"12083-12093"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"13648-13652"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"7 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"L aitue Réseaux d'o"	"13694-13704"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"formations BSV JEVI"	"2018"	""	"n°6, page 3. Méthod"	"14313-14317"	"type=YYYY, form=2018"
