"bsv"	"context before"	"deseases"	"context after"	"location"	"features"
"05_GC_Als_cle8c3f61"	"nouvelles feuilles."	"Oïdium"	"ORGE On observe de"	"341-347"	"type=DESEASE, form=Oïdium"
"05_GC_Als_cle8c3f61"	"e quelques pustules"	"d'oïdium"	"sur feuilles âgées."	"402-410"	"type=DESEASE, form=d'oïdium"
"05_GC_Als_cle8c3f61"	"uilles âgées. Stade"	"Oïdium"	"Ravageur A noter ég"	"437-443"	"type=DESEASE, form=Oïdium"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"loqué par le climat"	"secOÏDIUM"	": des dégâts sur le"	"191-200"	"type=DESEASE, form=secOÏDIUM"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"UIN JUILLET AOÛT 53"	"OÏDIUM"	"Dans les témoins, l"	"812-818"	"type=DESEASE, form=OÏDIUM"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"n de leur épiderme."	"Oïdium"	": attaque sur baies"	"1212-1218"	"type=DESEASE, form=Oïdium"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"oujours réceptives."	"L'oïdium"	"est aussi susceptib"	"1610-1618"	"type=DESEASE, form=L'oïdium"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"êt de la protection"	"Oïdium"	": attaque sur jeune"	"1736-1742"	"type=DESEASE, form=Oïdium"
"13_HORTI_Als_cle02386b"	"urs, la pression en"	"thrips"	"aura été moyenne su"	"2918-2924"	"type=DESEASE, form=thrips"
"13_HORTI_Als_cle02386b"	"les populations de"	"thrips"	". Les pucerons auron"	"3293-3299"	"type=DESEASE, form=thrips"
"13_HORTI_Als_cle02386b"	"e même que pour les"	"thrips"	", les chaleurs canic"	"3416-3422"	"type=DESEASE, form=thrips"
"13_HORTI_Als_cle02386b"	"ias et les pensées."	"Thrips"	", pupes d'aleurodes"	"4191-4197"	"type=DESEASE, form=Thrips"
"13_HORTI_Als_cle02386b"	"les que le mildiou,"	"l'oïdium"	". Des cas de botryti"	"4398-4406"	"type=DESEASE, form=l'oïdium"
"13_HORTI_Als_cle02386b"	"ré des pressions en"	"thrips(principal"	"vecteur) peu import"	"4615-4631"	"type=DESEASE, form=thrips(principal"
"19bsv_jevi_20181108_cle871314"	"onte ni de chenille"	"MâcheOïdium"	": présence ponctuel"	"318-329"	"type=DESEASE, form=MâcheOïdium"
"19bsv_jevi_20181108_cle871314"	"certaines maladies ("	"rouille"	", pourriture blanche"	"5053-5060"	"type=DESEASE, form=rouille"
"19bsv_jevi_20181108_cle871314"	"rivilégier. M âche"	"Oïdium"	": présence ponctuel"	"5767-5773"	"type=DESEASE, form=Oïdium"
"19bsv_jevi_20181108_cle871314"	"vations La présence"	"d'oïdium"	"sur mâche a été con"	"5879-5887"	"type=DESEASE, form=d'oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"piaison. Surveiller"	"l'oïdium"	"MAÏS page 14 Stade"	"809-817"	"type=DESEASE, form=l'oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"AUTRES MALADIES"	"Oïdium"	"et alternaria sont"	"6162-6168"	"type=DESEASE, form=Oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"nts pour l'instant."	"L'oïdium"	"est signalé dans 2"	"6217-6225"	"type=DESEASE, form=L'oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"Haute-Marne"	"ROUILLE"	"JAUNE Situation Des"	"9298-9305"	"type=DESEASE, form=ROUILLE"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"on Des symptômes de"	"rouille"	"jaune sont signalés"	"9339-9346"	"type=DESEASE, form=rouille"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"peu sensibles à la"	"rouille"	"jaune(Diamento, Did"	"9995-10002"	"type=DESEASE, form=rouille"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"terrain. Le risque"	"rouille"	"jaune est fort cett"	"10327-10334"	"type=DESEASE, form=rouille"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"présence élevée de"	"rouille"	"jaune, continuer à"	"10450-10457"	"type=DESEASE, form=rouille"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"précipitations). 9"	"OÏDIUM"	"Situation Cette sem"	"13295-13301"	"type=DESEASE, form=OÏDIUM"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"aine, des symptômes"	"d'oïdium"	"sont signalés sur 4"	"13341-13349"	"type=DESEASE, form=d'oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"Boregar). Symptômes"	"oïdium"	"Source : ARVALIS In"	"13872-13878"	"type=DESEASE, form=oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"e des symptômes 10"	"ROUILLE"	"BRUNE De la rouille"	"14646-14653"	"type=DESEASE, form=ROUILLE"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ROUILLE BRUNE De la"	"rouille"	"brune est signalée"	"14666-14673"	"type=DESEASE, form=rouille"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ntaine-sur-Ay (51)."	"FUSARIOSE"	"DES ÉPIS La majorit"	"14821-14830"	"type=DESEASE, form=FUSARIOSE"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"de sensibilité aux"	"fusarioses"	": stade floraison."	"14906-14916"	"type=DESEASE, form=fusarioses"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"stimation du risque"	"fusarioses"	"se réalise à partir"	"15047-15057"	"type=DESEASE, form=fusarioses"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ation Des symptômes"	"d'helminthosporiose"	"sont signalés dans"	"18063-18082"	"type=DESEASE, form=d'helminthosporiose"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"nt des symptômes de"	"rhynchosporiose"	"se maintient par ra"	"18348-18363"	"type=DESEASE, form=rhynchosporiose"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ement sur F1. De la"	"rouille"	"naine est également"	"18543-18550"	"type=DESEASE, form=rouille"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"F1. La pression en"	"oïdium"	"est encore bien pré"	"18682-18688"	"type=DESEASE, form=oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"Présence également"	"d'oïdium"	"sur tige. A surveil"	"19038-19046"	"type=DESEASE, form=d'oïdium"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"aux années les plus"	"froides"	"sur la période 1985"	"22889-22896"	"type=DESEASE, form=froides"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ormale en raison du"	"froid"	". Peu d'avancée des"	"29256-29261"	"type=DESEASE, form=froid"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"s céréales à paille"	"Piétin"	"verse : A partir du"	"7874-7880"	"type=DESEASE, form=Piétin"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ES de résistance au"	"piétin"	"verse atteint ou dé"	"8055-8061"	"type=DESEASE, form=piétin"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"nt ou dépasse 5, le"	"piétin"	"verse n'est pas nui"	"8093-8099"	"type=DESEASE, form=piétin"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"Institut du végétal"	"Oïdium"	"du blé : Si l'oïdiu"	"8162-8168"	"type=DESEASE, form=Oïdium"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"Oïdium du blé : Si"	"l'oïdium"	"est présent uniquem"	"8181-8189"	"type=DESEASE, form=l'oïdium"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"lité est faible. Si"	"l'oïdium"	"est présent sur les"	"8275-8283"	"type=DESEASE, form=l'oïdium"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ller l'évolution de"	"l'oïdium"	". 1 ou 2 feutrages b"	"8594-8602"	"type=DESEASE, form=l'oïdium"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"té est atteint. 5 %"	"d'oïdium"	"Rouille jaune : Au"	"9042-9050"	"type=DESEASE, form=d'oïdium"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"teint. 5 % d'oïdium"	"Rouille"	"jaune : Au stade ép"	"9051-9058"	"type=DESEASE, form=Rouille"
