"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/01_TB_Als_cle8c6253.html"	"1"	"H1"	""	"Tabac"	"tabac"	"tabac"	""	"0-5"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tabac, skos-prefLabel=tabac, lemma=tabac, form=Tabac"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/01_TB_Als_cle8c6253.html"	"73"	"P"	"d'éparpiller de la"	"paille"	"paille"	"céréale à paille"	", du miscanthus broy"	"282-288"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, lemma=paille, form=paille"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/01_TB_Als_cle8c6253.html"	"73"	"P"	"er de la paille, du"	"miscanthus"	"miscanthus"	"miscanthus"	"broyé ou des cendre"	"293-303"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Miscanthus_industriels, skos-prefLabel=miscanthus, lemma=miscanthus, form=miscanthus"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"1"	"H2"	""	"ORGE"	"orge"	"orge"	""	"0-4"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, lemma=orge, form=ORGE"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"1"	"H1"	""	"ORGE"	"orge"	"orge"	""	"0-4"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, lemma=orge, form=ORGE"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"6"	"H2"	"NIES SUR CEREALES A"	"PAILLE"	"paille"	"céréale à paille"	""	"33-39"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, lemma=paille, form=PAILLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"38"	"P"	"argement profité au"	"blé"	"blé"	"blé"	". Le redressement a"	"75-78"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, lemma=blé, form=blé"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"5"	"H3"	"Oscinie sur"	"céréales à paille"	"céréale à paille"	"céréale à paille"	""	"12-29"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, lemma=céréaleàpaille, form=céréales à paille"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"5"	"H3"	"Oscinie sur"	"céréales"	"céréale"	"céréale"	"à paille"	"12-20"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, lemma=céréale, form=céréales"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"5"	"H3"	"inie sur céréales à"	"paille"	"paille"	"céréale à paille"	""	"23-29"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, lemma=paille, form=paille"
