;bsv;context before;conjunction;match;proposition;context after;location;features
0;05_GC_Als_cle8c3f61;écocement. Comme en;maïs, les;maïs;;attaques d'oscinies;1006-1015;type=N_PUN_N, form=maïs, les
1;05bsv_jevi_20190502_cle8f22b6;ine. Espaces verts,;parc et jardins;parc, jardins;;d'amateurs. Observa;2754-2769;type=N_KON_N, form=parc et jardins
2;05bsv_jevi_20190502_cle8f22b6;t Gesvres et région;lavalloise, jardins;jardins;;d'amateurs. Observa;4092-4111;type=N_PUN_N, form=lavalloise, jardins
3;05bsv_jevi_20190502_cle8f22b6;s et cœur du bocage;vendéen, jardins;jardins;;d'amateurs. Aphrop;5177-5193;type=N_PUN_N, form=vendéen, jardins
4;05bsv_jevi_20190502_cle8f22b6;entices du potager (;betterave, chénopode, épinard, poirée;betterave, épinard, poirée;chénopode;ou bette à cardes..;12597-12634;type=N_PUN_N, form=betterave, chénopode, épinard, poirée
5;05bsv_jevi_20190502_cle8f22b6;Loire (49), potager;d'amateurs et jardin;jardin;;associatif. Hépial;13788-13808;type=N_KON_N, form=d'amateurs et jardin
6;05bsv_jevi_20190502_cle8f22b6;u et cœur du bocage;vendéen, vergers;vergers;;d'amateurs. Carpoc;14587-14603;type=N_PUN_N, form=vendéen, vergers
7;05bsv_jevi_20190502_cle8f22b6;en France : Arbres;fruitiers et vignes;vignes;;: Malus domestica (;21217-21236;type=N_KON_N, form=fruitiers et vignes
8;05bsv_jevi_20190502_cle8f22b6;rier), Prunus spp. (;prunier, cerisier, abricotier;prunier, cerisier, abricotier;;, pêcher ), Citrus s;21305-21334;type=N_PUN_N, form=prunier, cerisier, abricotier
9;13_HORTI_Als_cle02386b;ERANIUMS Contre les;champignons et les;champignons;;bactéries, le lavag;575-593;type=N_KON_N, form=champignons et les
10;13_HORTI_Als_cle02386b;en contact avec des;bactéries, champignons et virus;champignons;;, il convient de les;800-831;type=N_PUN_N_KON_N, form=bactéries, champignons et virus
11;13_HORTI_Als_cle02386b;voir telles que les;poinsettias et les;poinsettias;;pensées. Thrips, pu;4163-4181;type=N_KON_N, form=poinsettias et les
12;13_HORTI_Als_cle02386b;diverses telles que;géranium, impatiens, chrysanthème;géranium, chrysanthème;;, etc., et ce, malgr;4543-4576;type=N_PUN_N, form=géranium, impatiens, chrysanthème
13;19bsv_jevi_20181108_cle871314;en région. Espaces;verts et jardins;jardins;;d'amateurs. Régions;775-791;type=N_KON_N, form=verts et jardins
14;19bsv_jevi_20181108_cle871314;bservations Espaces;verts et jardins;jardins;;privés en région. O;2590-2606;type=N_KON_N, form=verts et jardins
15;19bsv_jevi_20181108_cle871314;surtout lorsque les;pins et cèdres;pins;cèdres;colonisés par les p;3015-3029;type=N_KON_N, form=pins et cèdres
16;19bsv_jevi_20181108_cle871314;des jardins privés,;parcs, espaces;parcs;;publics, Il faut êt;3116-3130;type=N_PUN_N, form=parcs, espaces
17;2015-05-28_BSV_Grandes_Cultures_01_cle8ba414;UX page 17 Stades :;Pois, Féverole;Pois, Féverole;;: Début Floraison T;949-963;type=N_PUN_N, form=Pois, Féverole
18;2017_BSV_manche_10_sem21_cle8d2aee;ns le nord Cotentin.;Carotte, céleri, persil;Carotte, céleri, persil;;: toujours des capt;847-870;type=N_PUN_N, form=Carotte, céleri, persil
19;2017_BSV_manche_10_sem21_cle8d2aee;. Nuisibilité : Sur;oignon, les;oignon;;thrips sont souvent;6114-6125;type=N_PUN_N, form=oignon, les
20;2017_BSV_manche_10_sem21_cle8d2aee;es racines comme le;navet et le;navet;;radis sont sensible;12527-12538;type=N_KON_N, form=navet et le
21;2017_BSV_manche_10_sem21_cle8d2aee;a plantation.Céleri;branche et persil;persil;;: 10% de plants ave;16635-16652;type=N_KON_N, form=branche et persil
22;2017_BSV_manche_33_sem44_cle8f1de5;es dernières séries.;Carotte, céleri, persil;Carotte, céleri, persil;;: le troisième vol;517-540;type=N_PUN_N, form=Carotte, céleri, persil
23;2017_BSV_manche_33_sem44_cle8f1de5;sensibles comme la;laitue, le;laitue;;céleri-rave, la pha;4258-4268;type=N_PUN_N, form=laitue, le
24;55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116;famille donnée. Sur;blé, la;blé;;généralisation de l;5285-5292;type=N_PUN_N, form=blé, la
25;55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116;zèbe ou folpel) Sur;blé, l'oïdium;blé;;est majoritairement;5630-5643;type=N_PUN_N, form=blé, l'oïdium
26;55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116;de strobilurine sur;orge et escourgeon;orge, escourgeon;;sauf en situation d;6034-6052;type=N_KON_N, form=orge et escourgeon
27;BSV05_GC_LOR_S13_2020_cle4419d7;ancée des stades du;colza, l'observation;colza;;de l'accumulation d;10846-10866;type=N_PUN_N, form=colza, l'observation
28;BSV971_BanCas_N04_cle08e5ae;Numéro 04 Filières;Banane et Canne;Banane;;-à-Sucre Données : J;92-107;type=N_KON_N, form=Banane et Canne
29;BSV971_BanCas_N04_cle08e5ae;s filières majeures;banane et canne;banane;;-à-sucre. Nous vous;572-587;type=N_KON_N, form=banane et canne
30;BSV971_BanCas_N04_cle08e5ae;uadeloupe, Filières;Banane et Canne;Banane;;-à-Sucre, Numéro 04;3536-3551;type=N_KON_N, form=Banane et Canne
31;BSV971_BanCas_N04_cle08e5ae;dans les parcelles;commerciales, jardins;jardins;;créoles et privés,;5506-5527;type=N_PUN_N, form=commerciales, jardins
32;BSV971_BanCas_N04_cle08e5ae;uadeloupe, Filières;Banane et Canne;Banane;;-à-Sucre, Numéro 04;7004-7019;type=N_KON_N, form=Banane et Canne
33;BSV971_BanCas_N04_cle08e5ae;uadeloupe, Filières;Banane et Canne;Banane;;-à-Sucre, Numéro 04;9517-9532;type=N_KON_N, form=Banane et Canne
34;BSV971_BanCas_N04_cle08e5ae;te-Claire, Moulin à;eau, Bois;Bois;;Debout, La Regretté;10235-10244;type=N_PUN_N, form=eau, Bois
35;BSV971_BanCas_N04_cle08e5ae;ation des spores du;champignon et la;champignon;;dissémination de la;11543-11559;type=N_KON_N, form=champignon et la
