"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"446"	"html"	"Les pourcentages de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"sont très bons : pl"	"154-159"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"6081"	"html"	"la F1 facilitent la"	"germination"	"germination"	"stade principal BBCH 0"	"et l'extériorisatio"	"12631-12642"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"6081"	"html"	"tades varient entre"	"levée"	"levée"	"stade secondaire BBCH 009 "	"(1 ères feuilles de"	"29405-29410"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"2709"	"html"	"is la codification ("	"BBCH 13, 18 ou 32"	"BBCH @card@ , @card@ ou @card@"	"stade secondaire BBCH 13"	") ne nous est pas f"	"3796-3813"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_secondaryStage_BBCH13, skos-prefLabel=stade secondaire BBCH 13, form=BBCH 13, 18 ou 32"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"2709"	"html"	"es de stade Echelle"	"BBCH : Stade 15"	"BBCH : stade @card@"	"stade secondaire BBCH 15"	", maïs à 5 feuilles"	"4547-4562"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_secondaryStage_BBCH15, skos-prefLabel=stade secondaire BBCH 15, form=BBCH : Stade 15"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"2709"	"html"	"étaient en cours de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"(entre le 5 et le 1"	"5859-5864"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"2017_BSV_manche_33_sem44_cle8f1de5"	"1304"	"html"	"indispensable à la"	"germination"	"germination"	"stade principal BBCH 0"	"des spores. La bais"	"5287-5298"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"3442"	"html"	"permettant pas une"	"levée"	"levée"	"stade secondaire BBCH 009 "	"homogène des orges"	"7281-7286"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"3442"	"html"	"-Hilaire en Woëvre,"	"levée"	"levée"	"stade secondaire BBCH 009 "	"hétérogène causée p"	"7391-7396"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_01-42_cereales_Normandie_2020_cle83b764"	"1138"	"html"	"semisA partir de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"et jusqu'au stade 3"	"1871-1876"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_01-42_cereales_Normandie_2020_cle83b764"	"1138"	"html"	"s aux limaces de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"Cica jusqu'au stade"	"2289-2294"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_01-42_cereales_Normandie_2020_cle83b764"	"1138"	"html"	"ousses et nouvelles"	"levées"	"levée"	"stade secondaire BBCH 009 "	"d'adventices, sourc"	"2722-2728"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"BSV_AF_5_15_mars_2019_cle452e6e"	"2071"	"html"	"et déjà, permis la"	"germination"	"germination"	"stade principal BBCH 0"	"d'ascospores et don"	"472-483"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_ARBO_2018_11_cle44752f"	"649"	"html"	"rmer. La vitesse de"	"germination"	"germination"	"stade principal BBCH 0"	"est dépendante de l"	"1868-1879"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Arbo_06_20_cle882ae6"	"566"	"html"	"rmer. La vitesse de"	"germination"	"germination"	"stade principal BBCH 0"	"est dépendante de l"	"2748-2759"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf"	"2418"	"html"	"perd sa faculté de"	"germination"	"germination"	"stade principal BBCH 0"	"quand il est placé"	"3166-3177"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no_17_du_26-06-2018_cle861251"	"2034"	"html"	"perd sa faculté de"	"germination"	"germination"	"stade principal BBCH 0"	"quand il est placé"	"2605-2616"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no_1_du_13-03-2018_cle0bf736"	"748"	"html"	"rmer. La vitesse de"	"germination"	"germination"	"stade principal BBCH 0"	"est dépendante de l"	"2215-2226"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"pte du climat de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du blé jusqu'au sta"	"4461-4466"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"blé jusqu'au stade"	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	". L'estimation de l'"	"4489-4504"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"pte du climat de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du blé jusqu'au sta"	"17540-17545"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"blé jusqu'au stade"	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	". L'estimation de l'"	"17568-17583"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"pte du climat de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du blé jusqu'au déb"	"31730-31735"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"vée du blé jusqu'au"	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	". Une estimation est"	"31752-31767"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"n Dissémination des"	"Germination"	"germination"	"stade principal BBCH 0"	"Pénétration du Appa"	"40112-40123"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=Germination"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"d'eau libre pour la"	"germination"	"germination"	"stade principal BBCH 0"	"des spores et son c"	"50164-50175"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"rulation et/ou à la"	"germination"	"germination"	"stade principal BBCH 0"	". Les spores sont vé"	"57883-57894"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Cereales_paille_14_cle09e79d"	"10900"	"html"	"d'eau libre pour la"	"germination"	"germination"	"stade principal BBCH 0"	"des spores et son c"	"60690-60701"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"BSV_Colza_no24-20nov2019_cle8157b8"	"1675"	"html"	"dans la région. Les"	"levées"	"levée"	"stade secondaire BBCH 009 "	"les plus tardives s"	"1149-1155"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"BSV_Colza_no24-20nov2019_cle8157b8"	"1675"	"html"	"our les parcelles à"	"levée"	"levée"	"stade secondaire BBCH 009 "	"précoce, on peut co"	"3279-3284"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"BSV_Colza_no24-20nov2019_cle8157b8"	"1675"	"html"	"ans les parcelles à"	"levées"	"levée"	"stade secondaire BBCH 009 "	"tardives, les altis"	"3410-3416"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"BSV_GC_NA_Limousin_18_20200901_cle088995"	"3493"	"html"	"s : grains laiteux ("	"BBCH 83"	"BBCH @card@"	"stade secondaire BBCH 83"	") à pâteux (BBCH 87)"	"1368-1375"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH83, skos-prefLabel=stade secondaire BBCH 83, form=BBCH 83"
