"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"stages"	"locality"	"dates"	"context before"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"TITLE"	"TITLE"	"N°1 du 21 avril 2015"	""	""	""	""	"21 avril 2015"	""	"N°1 du 21 avril 20"	"1-21"	"type=TITLE, form=N°1 du 21 avril 2015"
"01_TB_Als_cle8c6253"	"H1"	"EDITION"	"N°1 du 21 avril 2015"	""	""	""	""	"21 avril 2015"	"1 du 21 avril 2015"	"s STADE Les premier"	"23-43"	"type=EDITION, form=N°1 du 21 avril 2015"
"01_TB_Als_cle8c6253"	"H2
P"	"STADES"	"STADE
Les premiers semis ont démarré fin février, l'essentiel a été réalisé début mars. Les pourcentages de levée sont très bons : plus de 95% de graines germées ce qui laisse présager entre 190 et 210 plants par plateaux. Aujourd'hui les stades sont variables entre 2 feuilles pour les plus tardifs et 8 feuilles pour les plus avancés."	""	""	"stade secondaire BBCH 009 "	""	"février,
mars"	"du 21 avril 2015 s"	"Maladies Botrytis O"	"46-382"	"type=STADES, form=STADE
Les premiers semis ont démarré fin février, l'essentiel a été réalisé début mars. Les pourcentages de levée sont très bons : plus de 95% de graines germées ce qui laisse présager entre 190 et 210 plants par plateaux. Aujourd'hui les stades sont variables entre 2 feuilles pour les plus tardifs et 8 feuilles pour les plus avancés."
"01_TB_Als_cle8c6253"	"H4"	"RISQUE"	"Botrytis Olpidium"	""	"Botrytis"	""	""	""	"s avancés. Maladies"	"Ravageurs Limaces P"	"392-409"	"type=RISQUE, form=Botrytis Olpidium"
"01_TB_Als_cle8c6253"	"H3
H4
H3"	"RISQUE"	"Ravageurs
Limaces Pucerons
Adventices et plantes parasites"	""	"Limaces,
Pucerons,
parasites"	""	""	""	"s Botrytis Olpidium"	"Tabac Quelques serr"	"410-468"	"type=RISQUE, form=Ravageurs
Limaces Pucerons
Adventices et plantes parasites"
"01_TB_Als_cle8c6253"	"H1"	"CULTURE"	"Tabac"	"tabac"	""	""	""	""	"t plantes parasites"	"Quelques serres ont"	"469-474"	"type=CULTURE, form=Tabac"
"01_TB_Als_cle8c6253"	"H3
P"	"RISQUE"	"Botrytis
Aucun cas de botrytris n'a été observé à ce jour. La période de risque va bientôt arriver. Pensez à bien aérer vos serres pour réduire l'humidité au niveau des plants, à oxygéner l'eau des bacs et à maintenir les plateaux à hauteur du bord des bacs pour que l'air circule au niveau des collets."	""	"Botrytis"	""	""	""	"n séchage. MALADIES"	"Olpidium Des cas d'"	"694-997"	"type=RISQUE, form=Botrytis
Aucun cas de botrytris n'a été observé à ce jour. La période de risque va bientôt arriver. Pensez à bien aérer vos serres pour réduire l'humidité au niveau des plants, à oxygéner l'eau des bacs et à maintenir les plateaux à hauteur du bord des bacs pour que l'air circule au niveau des collets."
"01_TB_Als_cle8c6253"	"H2
H3
P
H3
P"	"RISQUE"	"RAVAGEURS
Limaces
Des attaques de limaces sont notées un peu partout. Les dégâts sont des foyers, surtout localisées vers les côtés des serres et les coins des bacs de semis flottant. La surveillance est de mise. Pour limiter l'arrivée des limaces sur les plateaux il est possible d'éparpiller de la paille, du miscanthus broyé ou des cendres autour des bacs. Pensez aussi à nettoyer les abords des serres.
Pucerons
Le premier puceron a été observé dans une serre du sud du Bas-Rhin. Surveillez vos plants !"	"poirée,
céréale à paille,
miscanthus"	"Limaces,
limaces,
limaces,
Pucerons,
puceron"	""	"Bas-Rhin"	""	"ion Alsace semaine."	"Chambre d'agricultu"	"1313-1820"	"type=RISQUE, form=RAVAGEURS
Limaces
Des attaques de limaces sont notées un peu partout. Les dégâts sont des foyers, surtout localisées vers les côtés des serres et les coins des bacs de semis flottant. La surveillance est de mise. Pour limiter l'arrivée des limaces sur les plateaux il est possible d'éparpiller de la paille, du miscanthus broyé ou des cendres autour des bacs. Pensez aussi à nettoyer les abords des serres.
Pucerons
Le premier puceron a été observé dans une serre du sud du Bas-Rhin. Surveillez vos plants !"
"01_TB_Als_cle8c6253"	"FOOTER
BR"	"FOOTER"	"Bulletin de Santé du Végétal 2 pages"	""	""	""	""	""	"BASTIAN Adventices"	"ADVENTICES ET PLAN"	"1972-2008"	"type=FOOTER, form=Bulletin de Santé du Végétal 2 pages"
"01_TB_Als_cle8c6253"	"H2"	"RISQUE"	"ADVENTICES ET PLANTES PARASITES"	""	"PARASITES"	""	""	""	"du Végétal 2 pages"	"Adventices Des adve"	"2010-2041"	"type=RISQUE, form=ADVENTICES ET PLANTES PARASITES"
