"bsv"	"context before"	"conjunction"	"match"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"1 Pluri-annuelles ("	"prairies, jachères"	"prairies, jachères"	") 5 Colza/Blé Maïs/"	"4028-4046"	"type=N_PUN_N, form=prairies, jachères"
"20181106_bsv_grandes_cultures_34_cle08159b"	"7 feuilles Enquête"	"Tournesol et oiseaux"	"Tournesol"	"Céréales à paille L"	"675-695"	"type=N_KON_N, form=Tournesol et oiseaux"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"n démarrée pour les"	"blés et orges"	"blés"	"d'hiver Colza ....."	"244-257"	"type=N_KON_N, form=blés et orges"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza, tournesol, soja, pois"	") Les attaques rece"	"4362-4390"	"type=N_PUN_N, form=colza, tournesol, soja, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ire 1 Nœud pour les"	"blés, stade"	"blés"	"1-2 Nœuds pour les"	"230-241"	"type=N_PUN_N, form=blés, stade"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a dans la rotation ("	"colza, tournesol, pois"	"colza, tournesol, pois"	") ;- les conditions"	"11849-11871"	"type=N_PUN_N, form=colza, tournesol, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"de contamination du"	"colza, l'application"	"colza"	"d'un produit de bio"	"12494-12514"	"type=N_PUN_N, form=colza, l'application"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"biocontrôle sur les"	"pailles et chaumes"	"pailles"	"permet de faire dim"	"12551-12569"	"type=N_KON_N, form=pailles et chaumes"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a. Observations Sur"	"pois et féverole"	"pois, féverole"	", des encoches sont"	"13692-13708"	"type=N_KON_N, form=pois et féverole"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"re feuille pour les"	"blés et apparition"	"blés"	"des barbes pour les"	"219-237"	"type=N_KON_N, form=blés et apparition"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza, tournesol, soja, pois"	")- Les attaques rec"	"16410-16438"	"type=N_PUN_N, form=colza, tournesol, soja, pois"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"lture précédente au"	"sol, maïs"	"maïs"	"ou sorgho, souvent"	"13599-13608"	"type=N_PUN_N, form=sol, maïs"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza, tournesol, soja, pois"	")- Les attaques rec"	"9837-9865"	"type=N_PUN_N, form=colza, tournesol, soja, pois"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"rtements de boutons"	"floraux et gousses"	"gousses"	". Ils peuvent égalem"	"18383-18401"	"type=N_KON_N, form=floraux et gousses"
"20190730_bsv_grandes_cultures_cle879378"	"lance du mildiou du"	"tournesol, la"	"tournesol"	"maladie a été obser"	"9870-9883"	"type=N_PUN_N, form=tournesol, la"
"20190730_bsv_grandes_cultures_cle879378"	"tales/2016 brochure"	"colza et altises"	"colza"	"hiver.pdf Des analy"	"15863-15879"	"type=N_KON_N, form=colza et altises"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"e développement des"	"colzas, le"	"colzas"	"seuil de nuisibilit"	"2299-2309"	"type=N_PUN_N, form=colzas, le"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"e développement des"	"colzas, le"	"colzas"	"seuil de nuisibilit"	"2460-2470"	"type=N_PUN_N, form=colzas, le"
"20191114_BSV_grandes_cultures_Rhone-Alpes_N32_cle05361b"	"iver. La couleur du"	"colza, la"	"colza"	"qualité de l'enraci"	"6984-6993"	"type=N_PUN_N, form=colza, la"
"BSV-GC-n__33-01102019_cle41f418"	"de lutte. Limaces:"	"Colzas, pucerons"	"Colzas"	"verts (C.GAZET CA59"	"5049-5065"	"type=N_PUN_N, form=Colzas, pucerons"
"BSV-GC-n__33-01102019_cle41f418"	"dans une parcelle."	"Colza, larve"	"Colza"	"de teigne des cruci"	"6259-6271"	"type=N_PUN_N, form=Colza, larve"
"BSV-GC-n__33-01102019_cle41f418"	"res (C. GAZET CA59-"	"Colza, mouche"	"Colza"	"du chou as3cot (F."	"6313-6326"	"type=N_PUN_N, form=Colza, mouche"
"BSV-GC-n__36-22102019_cle43a7f1"	"ne, 26 parcelles de"	"blé et d'orge"	"blé"	"d'hiver ont été obs"	"374-387"	"type=N_KON_N, form=blé et d'orge"
"BSV-GC-n__36-22102019_cle43a7f1"	"ngluées relevées en"	"blé et escourgeon"	"blé, escourgeon"	", nous observons 1,"	"1301-1318"	"type=N_KON_N, form=blé et escourgeon"
"BSV-GC-n__36-22102019_cle43a7f1"	"engluées relevées ("	"blé et orge"	"blé, orge"	") : 9 présentent des"	"2080-2091"	"type=N_KON_N, form=blé et orge"
"BSV-GC-n__36-22102019_cle43a7f1"	"ioles des feuilles."	"Colza, stade"	"Colza"	"10 feuilles (M. ROU"	"4968-4980"	"type=N_PUN_N, form=Colza, stade"
"BSV-GC-n__36-22102019_cle43a7f1"	"e (C.GAZET CA59-62)"	"Colza, larves"	"Colza"	"d'altise à différen"	"6637-6650"	"type=N_PUN_N, form=Colza, larves"
"BSV-GC-n__36-22102019_cle43a7f1"	"dans une parcelle."	"Colza, larve"	"Colza"	"de tenthrède et dég"	"7780-7792"	"type=N_PUN_N, form=Colza, larve"
"BSV-GC-n__36-22102019_cle43a7f1"	"de GORRE CA59-62)"	"Colza, macules"	"Colza"	"de Phoma (H. GOSSE"	"7856-7870"	"type=N_PUN_N, form=Colza, macules"
"BSV_07-48_cereales_Normandie_2020_cle8d6d3f"	"té des parcelles de"	"blé et d'orge"	"blé"	"semées sont entre l"	"76-89"	"type=N_KON_N, form=blé et d'orge"
"BSV_07-48_cereales_Normandie_2020_cle8d6d3f"	"e sensibilité de la"	"céréale et la"	"céréale"	"période d'activité"	"2368-2381"	"type=N_KON_N, form=céréale et la"
"BSV_19-19_cereales_Normandie_2019_cle8dba8a"	"arfois atteint. Sur"	"orge, la"	"orge"	"pression rhynchospo"	"889-897"	"type=N_PUN_N, form=orge, la"
"BSV_27-29_cereales_Normandie_2019_cle8e5177"	"lle avec historique"	"dégâts, maïs"	"maïs"	"/maïs, mauvaise gest"	"1899-1911"	"type=N_PUN_N, form=dégâts, maïs"
"BSV_Colza_no01-20fev_cle091791"	"onnée par l'état du"	"colza et la"	"colza"	"dynamique de croiss"	"3314-3325"	"type=N_KON_N, form=colza et la"
"BSV_Colza_no17-02oct2019_cle8cb181"	"situations (état du"	"colza et dynamique"	"colza"	"de pousse). Le risq"	"638-656"	"type=N_KON_N, form=colza et dynamique"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"DON64 Piétin verse ("	"Blé et triticale"	"Blé, triticale"	") L'estimation du ri"	"7525-7541"	"type=N_KON_N, form=Blé et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"Fusariose des épis ("	"Blé et triticale"	"Blé, triticale"	") : vigilance à l'ap"	"2113-2129"	"type=N_KON_N, form=Blé et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"iche technique) Les"	"blés et triticale"	"blés, triticale"	"entrent dans la pér"	"13095-13112"	"type=N_KON_N, form=blés et triticale"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"ue, semer tôt : sur"	"colza, les"	"colza"	"semis tardifs sont"	"12527-12537"	"type=N_PUN_N, form=colza, les"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"Rotation à base de"	"colza, céréales et fourrages"	"colza, céréales, fourrages"	": offrant nourritur"	"13518-13546"	"type=N_PUN_N_KON_N, form=colza, céréales et fourrages"
"BSV_GC_n_01_du_28_aout_2018_cle098cfb"	"p 02 Tournesol p 07"	"Tournesol et colza"	"Tournesol, colza"	"Soja p 08 Début de"	"438-456"	"type=N_KON_N, form=Tournesol et colza"
"BSV_GC_n_01_du_28_aout_2018_cle098cfb"	"ne, semis du 16/08,"	"Colza, apparition"	"Colza"	"de la 2ème feuille,"	"2495-2512"	"type=N_PUN_N, form=Colza, apparition"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"er : Blé p. 6 Orges"	"d'hiver et escourgeons"	"escourgeons"	"p. 11 La pression d"	"361-383"	"type=N_KON_N, form=d'hiver et escourgeons"
"BSV_GC_n_1_du_27_08_19_cle0c116a"	"té, dans les autres"	"cultures(tournesol, sorgho"	"sorgho"	", ) sans préjudice,"	"8234-8260"	"type=N_PUN_N, form=cultures(tournesol, sorgho"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"fin février : Orges"	"d'hiver et escourgeons"	"escourgeons"	"p. 9 Le risque mal"	"1377-1399"	"type=N_KON_N, form=d'hiver et escourgeons"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"n. Altise sur jeune"	"tournesol, E"	"tournesol"	". Joudelat (CA89) Am"	"19504-19516"	"type=N_PUN_N, form=tournesol, E"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"ures à risque comme"	"tournesol et soja"	"tournesol, soja"	"), déchaumage et fau"	"20593-20610"	"type=N_KON_N, form=tournesol et soja"
"BSV_GC_n_33_du_2_07_19_cle0b813e"	"ures à risque comme"	"tournesol et soja"	"tournesol, soja"	"), déchaumage et fau"	"3239-3256"	"type=N_KON_N, form=tournesol et soja"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"rties des plantes :"	"tiges, pétioles, gousses"	"gousses"	". En cas d'attaques"	"20695-20719"	"type=N_PUN_N, form=tiges, pétioles, gousses"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"s galeries dans les"	"gousses, les"	"gousses"	"grains de flageolet"	"20877-20889"	"type=N_PUN_N, form=gousses, les"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"lle. Les précédents"	"maïs et la"	"maïs"	"proximité de cultur"	"21007-21017"	"type=N_KON_N, form=maïs et la"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"NT Pomme de terre :"	"MILEOS et Oignon"	"Oignon"	": MILONI : FREDON I"	"24251-24267"	"type=N_KON_N, form=MILEOS et Oignon"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"me de terre légumes"	"industriels, arboriculture, maraîchage, pépinière"	"arboriculture, maraîchage, pépinière"	"horticulture. Pour"	"24680-24729"	"type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière"
