	bsv	context	full_expression	match_with_fcu	proposition	context.1	location	features
0	20180911_bsv_grandes_cultures-26_cle0f15a8	1 Pluri-annuelles (	prairies, jachères	prairies, jachères		) 5 Colza/Blé Maïs/	4028-4046	type=N_PUN_N, form=prairies, jachères
1	20181106_bsv_grandes_cultures_34_cle08159b	7 feuilles Enquête	Tournesol et oiseaux	Tournesol		Céréales à paille L	675-695	type=N_KON_N, form=Tournesol et oiseaux
2	20181106_bsv_grandes_cultures_34_cle08159b	L Baris Du point de	vue des maladies, les colzas	colzas	vue des maladies	sont très sains. Qu	9623-9651	type=N_PUN_N, form=vue des maladies, les colzas
3	20190320_LOR_BSV_Grandes_Cultures_cle83816d	aison démarrée pour	les blés et orges	blés	orges	d'hiver Colza .....	240-257	type=N_KON_N, form=les blés et orges
4	20190417_ALS_BSV_Grandes_Cultures_cle8c93cf	celle en prenant en	compte, le stade, la vigueur du colza	colza	vigueur du colza	ainsi que le niveau	3803-3840	type=N_PUN_N, form=compte, le stade, la vigueur du colza
5	20190417_ALS_BSV_Grandes_Cultures_cle8c93cf	a dans la rotation (	colza, tournesol, soja, pois	colza, tournesol, soja, pois		) Les attaques rece	4362-4390	type=N_PUN_N, form=colza, tournesol, soja, pois
6	20190417_CHA_BSV_Grandes_Cultures_cle8333d7	ritaire 1 Nœud pour	les blés, stade	blés		1-2 Nœuds pour les	226-241	type=N_PUN_N, form=les blés, stade
7	20190417_CHA_BSV_Grandes_Cultures_cle8333d7	a dans la rotation (	colza, tournesol, pois	colza, tournesol, pois		) ;- les conditions	11849-11871	type=N_PUN_N, form=colza, tournesol, pois
8	20190417_CHA_BSV_Grandes_Cultures_cle8333d7	maladie. En cas de	contamination du colza, l'application	colza	contamination du colza	d'un produit de bio	12477-12514	type=N_PUN_N, form=contamination du colza, l'application
9	20190417_CHA_BSV_Grandes_Cultures_cle8333d7	de biocontrôle sur	les pailles et chaumes	pailles	chaumes	permet de faire dim	12547-12569	type=N_KON_N, form=les pailles et chaumes
10	20190417_CHA_BSV_Grandes_Cultures_cle8333d7	a. Observations Sur	pois et féverole	pois, féverole		, des encoches sont	13692-13708	type=N_KON_N, form=pois et féverole
11	20190507_LOR_BSV_Grandes_Cultures_cle893371	rnière feuille pour	les blés et apparition des barbes	blés	apparition des barbes	pour les orges d'hi	215-248	type=N_KON_N, form=les blés et apparition des barbes
12	20190507_LOR_BSV_Grandes_Cultures_cle893371	iser les colzas. En	effet, les colzas	colzas		présentent une fort	11195-11212	type=N_PUN_N, form=effet, les colzas
13	20190507_LOR_BSV_Grandes_Cultures_cle893371	cette campagne. En	effet, le colza	colza		a une forte capacit	11700-11715	type=N_PUN_N, form=effet, le colza
14	20190507_LOR_BSV_Grandes_Cultures_cle893371	a dans la rotation (	colza, tournesol, soja, pois	colza, tournesol, soja, pois		)- Les attaques rec	16410-16438	type=N_PUN_N, form=colza, tournesol, soja, pois
15	20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2	lture précédente au	sol, maïs	maïs		ou sorgho, souvent	13599-13608	type=N_PUN_N, form=sol, maïs
16	20190522_LOR_BSV_Grandes_Cultures_cle8b3b61	de la culture Cette	semaine, les stades des blés	blés	stades des blés	s'étalent de 3 nœud	2869-2897	type=N_PUN_N, form=semaine, les stades des blés
17	20190522_LOR_BSV_Grandes_Cultures_cle8b3b61	a dans la rotation (	colza, tournesol, soja, pois	colza, tournesol, soja, pois		)- Les attaques rec	9837-9865	type=N_PUN_N, form=colza, tournesol, soja, pois
18	20190710_LOR_BSV_Grandes_Cultures_cle8d764a	de la culture Cette	semaine, les maïs	maïs		sont compris entre	517-534	type=N_PUN_N, form=semaine, les maïs
19	20190730_bsv_grandes_cultures_cle879378	de surveillance du	mildiou du tournesol, la maladie	tournesol	mildiou du tournesol	a été observée en V	9859-9891	type=N_PUN_N, form=mildiou du tournesol, la maladie
20	20190730_bsv_grandes_cultures_cle879378	tales/2016 brochure	colza et altises	colza	altises	hiver.pdf Des analy	15863-15879	type=N_KON_N, form=colza et altises
21	20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f	e faible vitesse de	développement des colzas, le seuil de nuisibilité	colzas	"développement des colzas,
seuil de nuisibilité"	est abaissé à 3 pla	2281-2330	type=N_PUN_N, form=développement des colzas, le seuil de nuisibilité
22	20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714	e faible vitesse de	développement des colzas, le seuil de nuisibilité	colzas	"développement des colzas,
seuil de nuisibilité"	est abaissé à 3 pla	2442-2491	type=N_PUN_N, form=développement des colzas, le seuil de nuisibilité
23	20191114_BSV_grandes_cultures_Rhone-Alpes_N32_cle05361b	'entrée de l'hiver.	La couleur du colza, la qualité de l'enracinement et la disponibilité	colza	"qualité de enracinement,
couleur du colza,
disponibilité"	en azote permettent	6970-7039	type=N_PUN_N_KON_N, form=La couleur du colza, la qualité de l'enracinement et la disponibilité
24	BSV-GC-n__33-01102019_cle41f418	de lutte. Limaces:	Colzas, pucerons	Colzas	pucerons	verts (C.GAZET CA59	5049-5065	type=N_PUN_N, form=Colzas, pucerons
25	BSV-GC-n__33-01102019_cle41f418	dans une parcelle.	Colza, larve de teigne	Colza	larve de teigne	des crucifères (C.	6259-6281	type=N_PUN_N, form=Colza, larve de teigne
26	BSV-GC-n__33-01102019_cle41f418	res (C. GAZET CA59-	Colza, mouche du chou	Colza, chou	mouche du chou	as3cot (F. CARLIER	6313-6334	type=N_PUN_N, form=Colza, mouche du chou
27	BSV-GC-n__36-22102019_cle43a7f1	: Cette semaine, 26	parcelles de blé et d'orge	blé	"d'orge,
parcelles de blé"	d'hiver ont été obs	361-387	type=N_KON_N, form=parcelles de blé et d'orge
28	BSV-GC-n__36-22102019_cle43a7f1	ngluées relevées en	blé et escourgeon	blé, escourgeon		, nous observons 1,	1301-1318	type=N_KON_N, form=blé et escourgeon
29	BSV-GC-n__36-22102019_cle43a7f1	engluées relevées (	blé et orge	blé, orge		) : 9 présentent des	2080-2091	type=N_KON_N, form=blé et orge
30	BSV-GC-n__36-22102019_cle43a7f1	ioles des feuilles.	Colza, stade	Colza		10 feuilles (M. ROU	4968-4980	type=N_PUN_N, form=Colza, stade
31	BSV-GC-n__36-22102019_cle43a7f1	e (C.GAZET CA59-62)	Colza, larves	Colza	larves	d'altise à différen	6637-6650	type=N_PUN_N, form=Colza, larves
32	BSV-GC-n__36-22102019_cle43a7f1	dans une parcelle.	Colza, larve de tenthrède et dégâts	Colza	larve de tenthrède	sur feuille(H. GOSS	7780-7815	type=N_PUN_N_KON_N, form=Colza, larve de tenthrède et dégâts
33	BSV-GC-n__36-22102019_cle43a7f1	de GORRE CA59-62)	Colza, macules de Phoma	Colza	macules de phoma	(H. GOSSE de GORRE	7856-7879	type=N_PUN_N, form=Colza, macules de Phoma
34	BSV_07-48_cereales_Normandie_2020_cle8d6d3f	o o La majorité des	parcelles de blé et d'orge	blé	"d'orge,
parcelles de blé"	semées sont entre l	63-89	type=N_KON_N, form=parcelles de blé et d'orge
35	BSV_07-48_cereales_Normandie_2020_cle8d6d3f	entre la période de	sensibilité de la céréale et la période	céréale	"sensibilité de céréale,
période"	d'activité des cica	2350-2389	type=N_KON_N, form=sensibilité de la céréale et la période
36	BSV_19-19_cereales_Normandie_2019_cle8dba8a	arfois atteint. Sur	orge, la pression	orge	pression	rhynchosporiose est	889-906	type=N_PUN_N, form=orge, la pression
37	BSV_27-29_cereales_Normandie_2019_cle8e5177	lle avec historique	dégâts, maïs	maïs		/maïs, mauvaise gest	1899-1911	type=N_PUN_N, form=dégâts, maïs
38	BSV_Betterave_n19_cle0c8c47	'ITB pour minimiser	les pertes de rendement et la dissémination des champignons	champignons	"dissémination des champignons,
pertes de rendement"	. Maladies Oïdium Ro	4087-4146	type=N_KON_N, form=les pertes de rendement et la dissémination des champignons
39	BSV_Colza_no01-20fev_cle091791	ement des premières	captures et la présence de colza	colza	"captures,
présence de colza"	aux tiges principal	2635-2667	type=N_KON_N, form=captures et la présence de colza
40	BSV_Colza_no01-20fev_cle091791	st conditionnée par	l'état du colza et la dynamique de croissance	colza	"dynamique de croissance,
état du colza"	des tiges. Photo F.	3304-3349	type=N_KON_N, form=l'état du colza et la dynamique de croissance
41	BSV_Colza_no17-02oct2019_cle8cb181	lon les situations (	état du colza et dynamique de pousse	colza	"dynamique de pousse,
état du colza"	). Le risque limace	630-666	type=N_KON_N, form=état du colza et dynamique de pousse
42	BSV_GC_NA_Limousin_02_20190305_cle077475	DON64 Piétin verse (	Blé et triticale	Blé, triticale		) L'estimation du ri	7525-7541	type=N_KON_N, form=Blé et triticale
43	BSV_GC_NA_Limousin_13_20190521_cle0cb17e	Fusariose des épis (	Blé et triticale	Blé, triticale		) : vigilance à l'ap	2113-2129	type=N_KON_N, form=Blé et triticale
