"bsv"	"context before"	"deseases"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"E 2018 So mm air e"	"Rhizoctone"	"Hors réseau, des sy"	"11381-11391"	"type=DESEASE, form=Rhizoctone"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"u, des symptômes de"	"rhizoctone"	"sont signalés. À ce"	"11422-11432"	"type=DESEASE, form=rhizoctone"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"adies telles que le"	"piétin"	"échaudage ou le pié"	"8781-8787"	"type=DESEASE, form=piétin"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"tin échaudage ou le"	"piétin"	"verse, limiter le"	"8804-8810"	"type=DESEASE, form=piétin"
"20190320_LOR_BSV_Grandes_Cultures_cle83816d"	"es Des symptômes de"	"rhynchosporiose"	"sont signalés sur l"	"2509-2524"	"type=DESEASE, form=rhynchosporiose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"nœud sensible "". 2"	"Helminthosporiose"	"a. Observations Com"	"4858-4875"	"type=DESEASE, form=Helminthosporiose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"la semaine passée,"	"l'helminthosporiose"	"est la maladie la p"	"4917-4936"	"type=DESEASE, form=l'helminthosporiose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"aitre rapidement. 3"	"Rhynchosporiose"	"a. Observations La"	"5577-5592"	"type=DESEASE, form=Rhynchosporiose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"a. Observations La"	"rhynchosporiose"	"est signalée sur 2"	"5612-5627"	"type=DESEASE, form=rhynchosporiose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"est assez faible. 4"	"Oïdium"	"a. Observations Des"	"6007-6013"	"type=DESEASE, form=Oïdium"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"ations Des pustules"	"d'oïdium"	"sont signalées dans"	"6043-6051"	"type=DESEASE, form=d'oïdium"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"(variété sensible),"	"l'oïdium"	"touche même les F2"	"6209-6217"	"type=DESEASE, form=l'oïdium"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"ode d'incubation de"	"l'oïdium"	"est très courte. Si"	"6299-6307"	"type=DESEASE, form=l'oïdium"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"% Epi 1 cm 1 nœud 2"	"Froid"	"de printemps A part"	"6734-6739"	"type=DESEASE, form=Froid"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"début montaison, le"	"froid"	"peut avoir des cons"	"6785-6790"	"type=DESEASE, form=froid"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"Symptômes suite au"	"froid"	"et au vent du nord"	"7098-7103"	"type=DESEASE, form=froid"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"rcelle Des pustules"	"d'oïdium"	"et des taches de se"	"7320-7328"	"type=DESEASE, form=d'oïdium"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"ales du blé tendre ["	"piétin"	"-verse, septoriose,"	"7892-7898"	"type=DESEASE, form=piétin"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"-verse, septoriose,"	"rouille"	"jaune, rouille brun"	"7918-7925"	"type=DESEASE, form=rouille"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"ose, rouille jaune,"	"rouille"	"brune et fusariose"	"7933-7940"	"type=DESEASE, form=rouille"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"e, rouille brune et"	"fusariose"	"des épis]. http://w"	"7950-7959"	"type=DESEASE, form=fusariose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"istant BSV n°08 P.7"	"Fusariose"	"sur épis (fusarium"	"8823-8832"	"type=DESEASE, form=Fusariose"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"sarium graminearum)"	"Rouille"	"Jaune Rouille Brune"	"8865-8872"	"type=DESEASE, form=Rouille"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"arum) Rouille Jaune"	"Rouille"	"Brune Piétin verse"	"8879-8886"	"type=DESEASE, form=Rouille"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"Jaune Rouille Brune"	"Piétin"	"verse 5.5"	"8893-8899"	"type=DESEASE, form=Piétin"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	". Forte présence de"	"rhynchosporiose"	"sur les orges d'hiv"	"492-507"	"type=DESEASE, form=rhynchosporiose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"Levée à 5 feuilles."	"Thrips"	": Quasi absence des"	"983-989"	"type=DESEASE, form=Thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	": Quasi absence des"	"thrips"	"dans les parcelles."	"1010-1016"	"type=DESEASE, form=thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"lles. Risque faible."	"Sitones"	": Encoches toujours"	"1051-1058"	"type=DESEASE, form=Sitones"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"à "" 3 Nœuds "". 2 |"	"Piétin"	"verse a. Observatio"	"1436-1442"	"type=DESEASE, form=Piétin"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"nt des symptômes de"	"piétin"	"verse, allant de 1"	"1504-1510"	"type=DESEASE, form=piétin"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"de risque Le risque"	"piétin"	"verse reste faible"	"1823-1829"	"type=DESEASE, form=piétin"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"es maladies de pied"	"Rhizoctone"	": 2 parcelles signa"	"1928-1938"	"type=DESEASE, form=Rhizoctone"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"lent la présence de"	"rhizoctone"	"(5 et 20% de tiges"	"1978-1988"	"type=DESEASE, form=rhizoctone"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"de tiges touchées)."	"Fusariose"	"de bas de tige : 1"	"2018-2027"	"type=DESEASE, form=Fusariose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"nale la présence de"	"fusariose"	"(14% de tiges touch"	"2079-2088"	"type=DESEASE, form=fusariose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"iges touchées). 3 |"	"Oïdium"	"a. Observations 3 p"	"2118-2124"	"type=DESEASE, form=Oïdium"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ales du blé tendre ["	"piétin"	"-verse, septoriose,"	"3634-3640"	"type=DESEASE, form=piétin"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"-verse, septoriose,"	"rouille"	"jaune, rouille brun"	"3660-3667"	"type=DESEASE, form=rouille"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ose, rouille jaune,"	"rouille"	"brune et fusariose"	"3675-3682"	"type=DESEASE, form=rouille"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"e, rouille brune et"	"fusariose"	"des épis]. http://w"	"3692-3701"	"type=DESEASE, form=fusariose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	". BSV n°09 P.3 5 |"	"Rouille"	"jaune Aucun signale"	"5874-5881"	"type=DESEASE, form=Rouille"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ucun signalement de"	"rouille"	"jaune au sein du ré"	"5909-5916"	"type=DESEASE, form=rouille"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ille Pointante. 2 |"	"Rhynchosporiose"	"a. Observations La"	"6399-6414"	"type=DESEASE, form=Rhynchosporiose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a. Observations La"	"rhynchosporiose"	"est bien présente a"	"6434-6449"	"type=DESEASE, form=rhynchosporiose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"développement de la"	"rhynchosporiose"	"ces derniers jours."	"6822-6837"	"type=DESEASE, form=rhynchosporiose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"nt des symptômes de"	"rouille"	"naine sur f3 avec e"	"7052-7059"	"type=DESEASE, form=rouille"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"alent des symptômes"	"d'helminthosporiose"	"sur f3 [10 à 70% de"	"7250-7269"	"type=DESEASE, form=d'helminthosporiose"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"es] ; Des symptômes"	"d'oïdium"	"sont visibles dans"	"7395-7403"	"type=DESEASE, form=d'oïdium"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ades 4-5 feuilles 2"	"Thrips"	"(Thrips Angusticeps"	"13049-13055"	"type=DESEASE, form=Thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"feuilles 2 Thrips ("	"Thrips"	"Angusticeps) a. Obs"	"13057-13063"	"type=DESEASE, form=Thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ente quelques rares"	"thrips"	"(0.1 thrips/plante)"	"13188-13194"	"type=DESEASE, form=thrips"
