"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ACTUALITÉS"	"Colza"	"colza"	"colza"	"Limaces à surveille"	"13-18"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"es grosses altises."	"Maïs"	"maïs"	"maïs"	"Compter les larves"	"151-155"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, lemma=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ion 12 parcelles de"	"colza"	"colza"	"colza"	"sont renseignées ce"	"469-474"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"es des parcelles de"	"colza"	"colza"	"colza"	"du réseau(en % du t"	"818-823"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"tal de parcelles de"	"colza"	"colza"	"colza"	"observées) sem 37 1"	"864-869"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ttaques de limaces)"	"mais"	"mais"	"maïs"	"aussi à l'intérieur"	"2202-2206"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, lemma=mais, form=mais"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"amique de pousse du"	"colza"	"colza"	"colza"	". RÉSEAU DE SURVEIL"	"3518-3523"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"rayeuse 1 Sableux 0"	"Colza"	"colza"	"colza"	"6 Céréales d'hiver"	"3947-3952"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"1 Sableux 0 Colza 6"	"Céréales"	"céréale"	"céréale"	"d'hiver 4 Le précéd"	"3955-3963"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, lemma=céréale, form=Céréales"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"1 Pluri-annuelles ("	"prairies"	"prairie"	"prairie"	", jachères ) 5 Colza"	"4028-4036"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, lemma=prairie, form=prairies"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"nnuelles (prairies,"	"jachères"	"jachère"	"gel"	") 5 Colza/Blé Maïs/"	"4038-4046"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, lemma=jachère, form=jachères"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"iries, jachères ) 5"	"Colza"	"colza"	"colza"	"/Blé Maïs/Tournesol"	"4051-4056"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"jachères ) 5 Colza/"	"Blé"	"blé"	"blé"	"Maïs/Tournesol La d"	"4057-4060"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, lemma=blé, form=Blé"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"hères ) 5 Colza/Blé"	"Maïs"	"maïs"	"maïs"	"/Tournesol La date d"	"4061-4065"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, lemma=maïs, form=Maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	") 5 Colza/Blé Maïs/"	"Tournesol"	"tournesol"	"tournesol"	"La date d'implantat"	"4066-4075"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, lemma=tournesol, form=Tournesol"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"2 Tardif 4 Tardif 1"	"Blé"	"blé"	"blé"	"/orge/prairies 1 Maï"	"4155-4158"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, lemma=blé, form=Blé"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"rdif 4 Tardif 1 Blé/"	"orge"	"orge"	"orge"	"/prairies 1 Maïs 2 S"	"4159-4163"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, lemma=orge, form=orge"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"4 Tardif 1 Blé/orge/"	"prairies"	"prairie"	"prairie"	"1 Maïs 2 Sensibilit"	"4164-4172"	"type=RDFProjector, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, lemma=prairie, form=prairies"
