"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"ACTUALITÉS"	"Colza"	"colza"	"colza"	"Limaces à surveille"	"13-18"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"es grosses altises."	"Maïs"	"maïs"	"maïs"	"Compter les larves"	"151-155"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, lemma=maïs, form=Maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"AYS DE LA LOIRE BSV"	"GRANDES CULTURES"	"grand culture"	"grande culture"	"-DU 11 SEPTEMBRE N °"	"305-321"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, lemma=grandculture, form=GRANDES CULTURES"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"ion 12 parcelles de"	"colza"	"colza"	"colza"	"sont renseignées ce"	"469-474"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"es des parcelles de"	"colza"	"colza"	"colza"	"du réseau(en % du t"	"818-823"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"tal de parcelles de"	"colza"	"colza"	"colza"	"observées) sem 37 1"	"864-869"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"LA LOIRE Page 2 BSV"	"GRANDES CULTURES"	"grand culture"	"grande culture"	"- N°26 DU 11 SEPTEM"	"1554-1570"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, lemma=grandculture, form=GRANDES CULTURES"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"amique de pousse du"	"colza"	"colza"	"colza"	". RÉSEAU DE SURVEIL"	"3518-3523"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"LA LOIRE Page 3 BSV"	"GRANDES CULTURES"	"grand culture"	"grande culture"	"- N°26 DU 11 SEPTEM"	"3607-3623"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, lemma=grandculture, form=GRANDES CULTURES"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"rayeuse 1 Sableux 0"	"Colza"	"colza"	"colza"	"6 Céréales d'hiver"	"3947-3952"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"1 Pluri-annuelles ("	"prairies"	"prairie"	"prairie"	", jachères ) 5 Colza"	"4028-4036"	"IRI=http://ontology.inrae.fr/frenchcropusage/Prairies, tomap-classifier=exact, similarity=1.0, skos-prefLabel=prairie, skos-prefLabel=prairie, skos-prefLabel=prairie, skos-prefLabel=prairie, lemma=prairie, form=prairies"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"nnuelles (prairies,"	"jachères"	"jachère"	"gel"	") 5 Colza/Blé Maïs/"	"4038-4046"	"IRI=http://ontology.inrae.fr/frenchcropusage/Gels, tomap-classifier=exact, similarity=1.0, skos-prefLabel=gel, skos-prefLabel=gel, skos-prefLabel=gel, skos-prefLabel=gel, skos-prefLabel=gel, skos-prefLabel=gel, skos-prefLabel=gel, lemma=jachère, form=jachères"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"iries, jachères ) 5"	"Colza"	"colza"	"colza"	"/Blé Maïs/Tournesol"	"4051-4056"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, lemma=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	") 5 Colza/Blé Maïs/"	"Tournesol"	"tournesol"	"tournesol"	"La date d'implantat"	"4066-4075"	"IRI=http://ontology.inrae.fr/frenchcropusage/Tournesols, tomap-classifier=exact, similarity=1.0, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, skos-prefLabel=tournesol, lemma=tournesol, form=Tournesol"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"2 Tardif 4 Tardif 1"	"Blé"	"blé"	"blé"	"/orge/prairies 1 Maï"	"4155-4158"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, lemma=blé, form=Blé"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"rdif 4 Tardif 1 Blé/"	"orge"	"orge"	"orge"	"/prairies 1 Maïs 2 S"	"4159-4163"	"IRI=http://ontology.inrae.fr/frenchcropusage/Orges, tomap-classifier=exact, similarity=1.0, skos-prefLabel=orge, lemma=orge, form=orge"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"2433"	"html"	"4 Tardif 1 Blé/orge/"	"prairies"	"prairie"	"prairie"	"1 Maïs 2 Sensibilit"	"4164-4172"	"IRI=http://ontology.inrae.fr/frenchcropusage/Prairies, tomap-classifier=exact, similarity=1.0, skos-prefLabel=prairie, skos-prefLabel=prairie, skos-prefLabel=prairie, skos-prefLabel=prairie, lemma=prairie, form=prairies"
