"bsv"	"context before"	"locality"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"DU TERRITOIRE 2018"	"PAYS DE LA LOIRE"	"BSV GRANDES CULTURE"	"284-300"	"type=REG_NOM, $=Pays de la Loire, form=PAYS DE LA LOIRE"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"e d'Agriculture des"	"Pays de la Loire"	"C OLZA Réseau d'obs"	"408-424"	"type=REG_NOM, $=Pays de la Loire, form=Pays de la Loire"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"6 Maine-et-Loire, 2"	"Mayenne"	", 2 Sarthe et 2 Vend"	"568-575"	"type=DEP_NOM, $=Mayenne, form=Mayenne"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"Loire, 2 Mayenne, 2"	"Sarthe"	"et 2 Vendée Le rése"	"579-585"	"type=DEP_NOM, $=Sarthe, form=Sarthe"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"enne, 2 Sarthe et 2"	"Vendée"	"Le réseau de survei"	"591-597"	"type=DEP_NOM, $=Vendée, form=Vendée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"ww.draaf.pays-de-la-"	"loire"	".agriculture.gouv.fr"	"1138-1143"	"type=DEP_NOM, $=Loire, form=loire"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"v.fr www.pays-de-la-"	"loire"	".chambres-agricultur"	"1179-1184"	"type=DEP_NOM, $=Loire, form=loire"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"on : www.pays-de-la-"	"loire"	".chambres-agricultur"	"1337-1342"	"type=DEP_NOM, $=Loire, form=loire"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"DU TERRITOIRE 2018"	"PAYS DE LA LOIRE"	"Page 2 BSV GRANDES"	"1526-1542"	"type=REG_NOM, $=Pays de la Loire, form=PAYS DE LA LOIRE"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"DU TERRITOIRE 2018"	"PAYS DE LA LOIRE"	"Page 3 BSV GRANDES"	"3579-3595"	"type=REG_NOM, $=Pays de la Loire, form=PAYS DE LA LOIRE"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"e 0 Calculez ici la"	"somme"	": BILAN évaluation"	"4661-4666"	"type=DEP_NOM, $=Somme, form=somme"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"sque à la parcelle:"	"Somme"	"des valeurs prises"	"4711-4716"	"type=DEP_NOM, $=Somme, form=Somme"
