"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"uvette jaune dès la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"pour suivre les pet"	"97-102"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"% 8% 8% 8% 0% Semis"	"Germination"	"germination"	"stade principal BBCH 0"	"levée cotylédons ét"	"942-953"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=Germination"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"r le semis pour une"	"levée"	"levée"	"stade secondaire BBCH 009 "	"rapide et un bon dé"	"3024-3029"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ode de risque De la"	"germination"	"germination"	"stade principal BBCH 0"	"au stade 3 feuilles"	"3178-3189"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ns climatiques à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	", des dégâts observé"	"3459-3464"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"être observées à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"ou dans les premièr"	"5180-5185"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ndant la période de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du colza pour limit"	"5708-5713"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 3 feuilles"	"5973-5978"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"les insectes Dès la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du colza, installez"	"6153-6158"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 3 feuilles"	"7431-7436"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"2433"	"html"	"uil de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 6 feuilles"	"8845-8850"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"% 5% 0% 5% 0% 5% 0%"	"levée"	"levée"	"stade secondaire BBCH 009 "	"cotylédons étalés 3"	"2047-2052"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ode de risque De la"	"germination"	"germination"	"stade principal BBCH 0"	"au stade 3 feuilles"	"3132-3143"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ns climatiques à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	", des dégâts observé"	"3423-3428"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ndant la période de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du colza pour limit"	"4172-4177"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 3 feuilles"	"4334-4339"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 3 feuilles"	"6054-6059"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 6 feuilles"	"7868-7873"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"les insectes Dès la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du colza, installez"	"8072-8077"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"e préférentielle de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"Profondeur de germi"	"10853-10858"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
