"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"deseases"	"stages"	"context before"	"context after"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"H4
P
BR
P"	"RESEAU D'OBSERVATION"	"Réseau d'observation
12 parcelles de colza sont renseignées cette semaine sous VGOBS avec la répartition suivante : 6 Maine-et-Loire, 2 Mayenne, 2 Sarthe et 2 Vendée
Le réseau de surveillance se met en place."	"colza"	""	""	""	"de la Loire C OLZA"	"Stade phénologique"	"432-640"	"type=RESEAU D'OBSERVATION, form=Réseau d'observation
12 parcelles de colza sont renseignées cette semaine sous VGOBS avec la répartition suivante : 6 Maine-et-Loire, 2 Mayenne, 2 Sarthe et 2 Vendée
Le réseau de surveillance se met en place."
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
BR
BR
BR"	"ABONNEMENT"	"ABONNEMENT BSV
Retrouvez le bulletin de santé du végétal sur le web... www.draaf.pays-de-la-loire.agriculture.gouv.fr www.pays-de-la-loire.chambres-agriculture.fr www.polleniz.fr"	""	""	""	""	"vraies(B1)(B2)(B3)"	"ou inscrivez-vous"	"1046-1224"	"type=ABONNEMENT, form=ABONNEMENT BSV
Retrouvez le bulletin de santé du végétal sur le web... www.draaf.pays-de-la-loire.agriculture.gouv.fr www.pays-de-la-loire.chambres-agriculture.fr www.polleniz.fr"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"H4
P
P
P"	"RISQUE"	"Observations et analyse du risque
Pas de limaces capturées dans les 8 pièges du réseau. Aucun dégât de limaces observé cette semaine dans le réseau.
Évaluation du risque climatique : le temps sec annoncé dans les jours à venir n'est pas favorable aux limaces. Vigilance tout de même à la rosée du matin.
Pour piéger efficacement, il faut :"	""	"limaces,
limaces,
limaces"	""	""	"Limaces So mm air e"	"RAPPE L > utiliser"	"1620-1959"	"type=RISQUE, form=Observations et analyse du risque
Pas de limaces capturées dans les 8 pièges du réseau. Aucun dégât de limaces observé cette semaine dans le réseau.
Évaluation du risque climatique : le temps sec annoncé dans les jours à venir n'est pas favorable aux limaces. Vigilance tout de même à la rosée du matin.
Pour piéger efficacement, il faut :"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"H4
P
H4
P"	"RISQUE"	"Période de risque
De la germination au stade 3 feuilles
Seuil de risque
Il n'existe pas de seuils de risque pour les limaces. L'intérêt d'une intervention s'évalue en fonction du stade de la culture, des populations de limaces présentes, du niveau de risque à la parcelle, des conditions climatiques à la levée, des dégâts observés et de la dynamique de pousse du colza."	"colza"	"limaces,
limaces"	""	"stade principal BBCH 0,
stade secondaire BBCH 009 "	"phosphate ferrique."	"RÉSEAU DE SURVEILL"	"3154-3524"	"type=RISQUE, form=Période de risque
De la germination au stade 3 feuilles
Seuil de risque
Il n'existe pas de seuils de risque pour les limaces. L'intérêt d'une intervention s'évalue en fonction du stade de la culture, des populations de limaces présentes, du niveau de risque à la parcelle, des conditions climatiques à la levée, des dégâts observés et de la dynamique de pousse du colza."
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"H4
P
H4
P"	"RISQUE"	"Période de risque
De la levée au stade 3 feuilles.
Seuil de risque
A partir de 8 pieds sur 10 porteurs de morsures;"	""	""	""	"stade secondaire BBCH 009 "	"les élytres noirs)."	"Petite altise CAPDL"	"5949-6064"	"type=RISQUE, form=Période de risque
De la levée au stade 3 feuilles.
Seuil de risque
A partir de 8 pieds sur 10 porteurs de morsures;"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"H4
P
H4
P"	"RISQUE"	"Période de risque
De la levée au stade 3 feuilles pour les dégâts de morsures des adultes
Seuil de risque
À partir de 8 pieds sur 10 porteurs de morsures"	""	""	""	"stade secondaire BBCH 009 "	"s altises d'hiver """	"Pucerons Quelques"	"7407-7560"	"type=RISQUE, form=Période de risque
De la levée au stade 3 feuilles pour les dégâts de morsures des adultes
Seuil de risque
À partir de 8 pieds sur 10 porteurs de morsures"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"H4
P
H4
P"	"RISQUE"	"Période de risque
Jusqu'au stade 6 feuilles (B6)
Seuil de risque
A partir de 20% des plantes porteuses de pucerons"	""	"pucerons"	""	""	"celle de la Sarthe."	"Tenthrède de la ra"	"7667-7781"	"type=RISQUE, form=Période de risque
Jusqu'au stade 6 feuilles (B6)
Seuil de risque
A partir de 20% des plantes porteuses de pucerons"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"P
SMALL
P"	"FINANCEMENT"	"Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. La CAPDL dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures et les invite à prendre ces décisions sur la base des observations qu'ils auront réalisées sur leurs parcelles.
Action pilotée par le ministère chargé de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Écophyto."	""	""	""	""	"tlantique, Terrena."	""	"12293-12957"	"type=FINANCEMENT, form=Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. La CAPDL dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures et les invite à prendre ces décisions sur la base des observations qu'ils auront réalisées sur leurs parcelles.
Action pilotée par le ministère chargé de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Écophyto."
"20181002_bsv_grandes_cultures_29_cle0423a6"	"FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
BR
BR
BR"	"ABONNEMENT"	"ABONNEMENT BSV
Retrouvez le bulletin de santé du végétal sur le web... www.draaf.pays-de-la-loire.agriculture.gouv.fr www.pays-de-la-loire.chambres-agriculture.fr www.polleniz.fr"	""	""	""	""	"arves sont absentes"	"ou inscrivez-vous"	"664-842"	"type=ABONNEMENT, form=ABONNEMENT BSV
Retrouvez le bulletin de santé du végétal sur le web... www.draaf.pays-de-la-loire.agriculture.gouv.fr www.pays-de-la-loire.chambres-agriculture.fr www.polleniz.fr"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"H5
BR"	"RESEAU D'OBSERVATION"	"Réseau d'observation
18 parcelles de colza sont renseignées cette semaine sous VGOBS avec la répartition suivante :"	"colza"	""	""	""	"C OLZA So mm air e"	"1 Loire-Atlantique,"	"1233-1348"	"type=RESEAU D'OBSERVATION, form=Réseau d'observation
18 parcelles de colza sont renseignées cette semaine sous VGOBS avec la répartition suivante :"
