"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"13"	"P"	"Stade E1 ("	"BBCH 51"	"BBCH @card@"	""	") : Le premier bouto"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 51, form=BBCH 51"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"22"	"P"	"Stade E5 ("	"BBCH 55"	"BBCH @card@"	""	") : Le deuxième bout"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 55, form=BBCH 55"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"18"	"P"	"Stade E7 ("	"BBCH 57"	"BBCH @card@"	""	") : Bouton fermé mai"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 57, form=BBCH 57"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"18"	"P"	"Stade F5 ("	"BBCH 65"	"BBCH @card@"	""	") : 50 % des fleurs"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 65, form=BBCH 65"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"12"	"H4"	"Stade F1 ("	"BBCH 59 - 60"	"BBCH @card@"	""	") : La première fleu"	"10-22"	"type=BBCH-DD, canonical-form=BBCH 59 - 60, form=BBCH 59 - 60"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"11"	"P"	"Stade F9 ("	"BBCH 69"	"BBCH @card@"	""	") : La floraison se"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 69, form=BBCH 69"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"12"	"H2"	"Stade A1 ("	"BBCH 08"	"BBCH @card@"	""	") : Fendillement du"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 08, form=BBCH 08"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"10"	"H2"	"Stade A2 ("	"BBCH 09"	"BBCH @card@"	""	") : Levée cotylédons"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 09, form=BBCH 09"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"13"	"P"	"Stade B1 ("	"BBCH 12"	"BBCH @card@"	""	") : les deux premièr"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 12, form=BBCH 12"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"16"	"P"	"Stade B2 ("	"BBCH 14"	"BBCH @card@"	""	") : 4 feuilles sont"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"9"	"H2"	"Stade B5 ("	"BBCH 15"	"BBCH @card@"	""	") : 5 cm"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 15, form=BBCH 15"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"9"	"H2"	"Stade B9 ("	"BBCH 17"	"BBCH @card@"	""	") : 7 cm"	"10-17"	"type=BBCH-DD, canonical-form=BBCH 17, form=BBCH 17"
