"bsv"	"context before"	"date"	"match"	"context after"	"location"	"features"
"01F57Zd3vFWg1itsp44SIT8E"	"e Agrumiculture N°4"	"21 Juin 2011"	""	"Structures partenai"	"106-118"	"type=DD-MM-YYYY, form=21 Juin 2011"
"01F57Zd3vFWg1itsp44SIT8E"	"lieu la semaine du"	"4 juillet"	""	". Mineuse (Phyllocni"	"819-828"	"type=DD-MM, form=4 juillet"
"02_bsv_raisin_29032012_V3"	"DE SANTE DU VEGETAL"	"29 mars 2012"	""	"OïDIUM Début de la"	"109-121"	"type=DD-MM-YYYY, form=29 mars 2012"
"02_bsv_raisin_29032012_V3"	"MÉTÉO Prévisions du"	"30 Mars"	""	"au 5 Avril 2012 (So"	"350-357"	"type=DD-MM, form=30 Mars"
"02_bsv_raisin_29032012_V3"	"sions du 30 Mars au"	"5 Avril 2012"	""	"(Source : Météo Fra"	"361-373"	"type=DD-MM-YYYY, form=5 Avril 2012"
"02_bsv_raisin_29032012_V3"	"nt du plan Ecophyto"	"2018"	""	". Avec le temps chau"	"790-794"	"type=YYYY, form=2018"
"02_bsv_raisin_29032012_V3"	"s "" ayant débuté en"	"1988"	""	"la lutte intégrée a"	"1246-1250"	"type=YYYY, form=1988"
"02_bsv_raisin_29032012_V3"	"IN DE TABLE N° 2 DU"	"29 MARS 2012"	""	"Page 1/2 Depuis la"	"2092-2104"	"type=DD-MM-YYYY, form=29 MARS 2012"
"02_bsv_raisin_29032012_V3"	"ns les parcelles En"	"2011"	""	", nous avons assisté"	"2472-2476"	"type=YYYY, form=2011"
"02_bsv_raisin_29032012_V3"	"rcelles touchées en"	"2011"	""	"et/ou les variétés"	"4370-4374"	"type=YYYY, form=2011"
"02_bsv_raisin_29032012_V3"	"IN DE TABLE N° 2 DU"	"29 MARS 2012"	""	"Page 2/3 EXCORIOSE"	"4536-4548"	"type=DD-MM-YYYY, form=29 MARS 2012"
"02_bsv_raisin_29032012_V3"	"IN DE TABLE N° 2 DU"	"29 MARS 2012"	""	"Page 3/3"	"6849-6861"	"type=DD-MM-YYYY, form=29 MARS 2012"
"04_bsv_raisin_12042012_V3"	"DE SANTE DU VEGETAL"	"12 Avril 2012"	""	"EXCORIOSE Période d"	"70-83"	"type=DD-MM-YYYY, form=12 Avril 2012"
"04_bsv_raisin_12042012_V3"	"Prévisions du 13 au"	"19 Avril 2012"	""	"(Source : Météo Fra"	"448-461"	"type=DD-MM-YYYY, form=19 Avril 2012"
"04_bsv_raisin_12042012_V3"	"maxi 5 14 5 15 6 13"	"6
12"	""	"5 15 7 16 8 19 Tend"	"597-601"	"type=DD-MM, form=6
12"
"04_bsv_raisin_12042012_V3"	"9 PHÉNOLOGIE Stades"	"01
03"	""	"05 07 09 12 15 17 2"	"648-653"	"type=DD-MM, form=01
03"
"04_bsv_raisin_12042012_V3"	"OLOGIE Stades 01 03"	"05
07"	""	"09 12 15 17 23 27 3"	"654-659"	"type=DD-MM, form=05
07"
"04_bsv_raisin_12042012_V3"	"Stades 01 03 05 07"	"09
12"	""	"15 17 23 27 33 35 3"	"660-665"	"type=DD-MM, form=09
12"
"04_bsv_raisin_12042012_V3"	"nt du plan Ecophyto"	"2018"	""	". Bourgeon d'hiver B"	"929-933"	"type=YYYY, form=2018"
"04_bsv_raisin_12042012_V3"	"IN DE TABLE N° 4 DU"	"12 AVRIL 2012"	""	"Page 1/3 BP 22107 3"	"1708-1721"	"type=DD-MM-YYYY, form=12 AVRIL 2012"
"04_bsv_raisin_12042012_V3"	"rcelles touchées en"	"2011"	""	". La période de risq"	"2462-2466"	"type=YYYY, form=2011"
"04_bsv_raisin_12042012_V3"	"rcelles touchées en"	"2011"	""	". Nous sommes dans l"	"3414-3418"	"type=YYYY, form=2011"
"04_bsv_raisin_12042012_V3"	"IN DE TABLE N° 4 DU"	"12 AVRIL 2012"	""	"Page 2/3 OÏDIUM É"	"3952-3965"	"type=DD-MM-YYYY, form=12 AVRIL 2012"
"04_bsv_raisin_12042012_V3"	"fortes attaques en"	"2011"	""	": la période de ris"	"5181-5185"	"type=YYYY, form=2011"
"04_bsv_raisin_12042012_V3"	"IN DE TABLE N° 4 DU"	"12 AVRIL 2012"	""	"Page 3/3 Note nati"	"6444-6457"	"type=DD-MM-YYYY, form=12 AVRIL 2012"
"04_bsv_raisin_12042012_V3"	"interministériel du"	"13 janvier 2009"	""	". 1/3 Connaître les"	"9180-9195"	"type=DD-MM-YYYY, form=13 janvier 2009"
"04_bsv_raisin_12042012_V3"	"ter que l'arrêté du"	"28 novembre 2003"	""	", paru au Journal of"	"11186-11202"	"type=DD-MM-YYYY, form=28 novembre 2003"
"04_bsv_raisin_12042012_V3"	"Journal officiel du"	"30 mars 2004"	""	", interdit tout empl"	"11232-11244"	"type=DD-MM-YYYY, form=30 mars 2004"
"04_bsv_raisin_12042012_V3"	"interministériel du"	"12 septembre 2006"	""	"impose aux applicat"	"12341-12358"	"type=DD-MM-YYYY, form=12 septembre 2006"
"04_bsv_raisin_12042012_V3"	"interministériel du"	"13 janvier 2009"	""	"précise les des abe"	"12896-12911"	"type=DD-MM-YYYY, form=13 janvier 2009"
"04_bsv_raisin_12042012_V3"	"rêté ministériel du"	"7 avril 2010"	""	". Ce dernier prévoit"	"13527-13539"	"type=DD-MM-YYYY, form=7 avril 2010"
"04_bsv_raisin_12042012_V3"	"1er de l'arrêté du"	"28 novembre 2003"	""	"susvisé, un délai d"	"13697-13713"	"type=DD-MM-YYYY, form=28 novembre 2003"
"05_bsv_ail_05042012_V3"	"nt du plan Ecophyto"	"2018"	""	". BULLETIN DE SANTE"	"273-277"	"type=YYYY, form=2018"
"05_bsv_ail_05042012_V3"	"-PYRENEES Ail - n°5"	"5 avril 2012"	""	"État hydrique Irrig"	"332-344"	"type=DD-MM-YYYY, form=5 avril 2012"
"05_bsv_ail_05042012_V3"	"VÉGÉTAL AIL N° 5 DU"	"5 AVRIL 2012"	""	"Page 1/3 CE F E L"	"2014-2026"	"type=DD-MM-YYYY, form=5 AVRIL 2012"
"05_bsv_ail_05042012_V3"	"VÉGÉTAL AIL N° 5 DU"	"5 AVRIL 2012"	""	"Page 2/3 CE F E L"	"4341-4353"	"type=DD-MM-YYYY, form=5 AVRIL 2012"
"05_bsv_ail_05042012_V3"	"ur technique CEFEL,"	"09/12/"	""	"1999) 3 parcelles, s"	"5288-5294"	"type=MM-YYYY, form=09/12/"
"05_bsv_ail_05042012_V3"	"hnique CEFEL, 09/12/"	"1999"	""	") 3 parcelles, sur 1"	"5294-5298"	"type=YYYY, form=1999"
"05_bsv_ail_05042012_V3"	"VÉGÉTAL AIL N° 5 DU"	"5 AVRIL 2012"	""	"Page 3/3 CE F E L"	"6609-6621"	"type=DD-MM-YYYY, form=5 AVRIL 2012"
"06_BSV_GC_05042011_cle8889ba"	"de Santé du Végétal"	"5 avril 2011"	""	"N° 06 COLZA Les pre"	"60-72"	"type=DD-MM-YYYY, form=5 avril 2011"
"06_BSV_GC_05042011_cle8889ba"	"re 2 rue de Rome BP"	"30 022"	""	"Schiltigheim 67013"	"2616-2622"	"type=DD-MM, form=30 022"
"07_BSV_GC_16042013_cle83b3df"	"N°07 du"	"16 avril 2013"	""	"COLZA Les températu"	"10-23"	"type=DD-MM-YYYY, form=16 avril 2013"
"07_BSV_GC_16042013_cle83b3df"	"e dizaine de jours."	"Mi-avril"	""	", la moitié des parc"	"1932-1940"	"type=MM, form=Mi-avril"
"07_BSV_GC_16042013_cle83b3df"	"n plaine et courant"	"octobre"	""	". Les autres suivron"	"2065-2072"	"type=MM, form=octobre"
"07_BSV_GC_16042013_cle83b3df"	"re 2 rue de Rome BP"	"30 022"	""	"Schiltigheim 67013"	"2842-2848"	"type=DD-MM, form=30 022"
"08_BSV_ZNA_080714_cle0bae61"	"non Agricoles N° 8"	"08 juillet 2014"	""	"Zones non Agricoles"	"27-42"	"type=DD-MM-YYYY, form=08 juillet 2014"
"08_BSV_ZNA_080714_cle0bae61"	"ce 2 rue de Rome BP"	"30 022"	""	"Schiltigheim 67023"	"1258-1264"	"type=DD-MM, form=30 022"
"091008_Bsv_cereales"	"Semaine"	"41 08/10/2009"	""	"Bulletin de Santé"	"9-22"	"type=DD-MM-YYYY, form=41 08/10/2009"
"091008_Bsv_cereales"	"eons et blé Semaine"	"41 08/10/2009"	""	"Bulletin édité sous"	"116-129"	"type=DD-MM-YYYY, form=41 08/10/2009"
