"bsv"	"context before"	"deseases"	"context after"	"location"	"features"
"02_bsv_raisin_29032012_V3"	"EGETAL 29 mars 2012"	"OïDIUM"	"Début de la période"	"122-128"	"type=DESEASE, form=OïDIUM"
"02_bsv_raisin_29032012_V3"	"ies sont annoncées."	"THRIPS"	"COCHENILLES Période"	"251-257"	"type=DESEASE, form=THRIPS"
"02_bsv_raisin_29032012_V3"	"henilles lécanines,"	"thrips"	", acariens), qui ne"	"2319-2325"	"type=DESEASE, form=thrips"
"02_bsv_raisin_29032012_V3"	"z les observateurs."	"OÏDIUM"	"Situation dans les"	"2432-2438"	"type=DESEASE, form=OÏDIUM"
"02_bsv_raisin_29032012_V3"	"a région. Symptômes"	"d'oïdium"	"sur grain - Photo C"	"2980-2988"	"type=DESEASE, form=d'oïdium"
"02_bsv_raisin_29032012_V3"	"s climats tempérés,"	"l'oïdium"	"se conserve sous fo"	"3074-3082"	"type=DESEASE, form=l'oïdium"
"02_bsv_raisin_29032012_V3"	"secondaires enfin,"	"l'oïdium"	"va s'installer dans"	"3911-3919"	"type=DESEASE, form=l'oïdium"
"02_bsv_raisin_29032012_V3"	"Schéma du cycle de"	"l'Oïdium"	"Mesures prophylact"	"4146-4154"	"type=DESEASE, form=l'Oïdium"
"02_bsv_raisin_29032012_V3"	"RASITES ÉMERGENTS ("	"THRIPS"	"- COCHENILLES ) Éva"	"5648-5654"	"type=DESEASE, form=THRIPS"
"04_bsv_raisin_12042012_V3"	"VRIL 2012 Page 2/3"	"OÏDIUM"	"Éléments de biolog"	"3976-3982"	"type=DESEASE, form=OÏDIUM"
"05_bsv_ail_05042012_V3"	"zones de production"	"Rouille"	"Début de la période"	"458-465"	"type=DESEASE, form=Rouille"
"05_bsv_ail_05042012_V3"	"droite) Photo CA81"	"Rouille"	"de l'ail (Puccinia"	"2758-2765"	"type=DESEASE, form=Rouille"
"05_bsv_ail_05042012_V3"	"t responsable de la"	"rouille"	"des Allium. C'est u"	"2848-2855"	"type=DESEASE, form=rouille"
"05_bsv_ail_05042012_V3"	"transmission de la"	"rouille"	"d'une saison sur l'"	"3060-3067"	"type=DESEASE, form=rouille"
"05_bsv_ail_05042012_V3"	"ustules orangées de"	"rouille"	"sur ail Les conditi"	"3313-3320"	"type=DESEASE, form=rouille"
"05_bsv_ail_05042012_V3"	"nt des symptômes de"	"rouille"	"sur respectivement"	"3789-3796"	"type=DESEASE, form=rouille"
"05_bsv_ail_05042012_V3"	", aucune pustule de"	"rouille"	"n'est observée à ce"	"3926-3933"	"type=DESEASE, form=rouille"
"05_bsv_ail_05042012_V3"	"emières pustules de"	"rouille"	"sont constatées sur"	"4009-4016"	"type=DESEASE, form=rouille"
"06_BSV_GC_05042011_cle8889ba"	"rcelles, des taches"	"d'oïdium"	"favorisées par le t"	"2235-2243"	"type=DESEASE, form=d'oïdium"
"06_BSV_GC_05042011_cle8889ba"	"si quelques traces"	"d'oïdium"	"voire d'helminthosp"	"2412-2420"	"type=DESEASE, form=d'oïdium"
"06_BSV_GC_05042011_cle8889ba"	"aces d'oïdium voire"	"d'helminthosporiose"	"et de rhynchosporio"	"2427-2446"	"type=DESEASE, form=d'helminthosporiose"
"06_BSV_GC_05042011_cle8889ba"	"inthosporiose et de"	"rhynchosporiose"	"sont parfois observ"	"2453-2468"	"type=DESEASE, form=rhynchosporiose"
"07_BSV_GC_16042013_cle83b3df"	"anitaire reste bon."	"L'oïdium"	"est absent. Notons"	"2314-2322"	"type=DESEASE, form=L'oïdium"
"07_BSV_GC_16042013_cle83b3df"	"se sur les feuilles"	"Rouille"	"naine Bulletin de S"	"2413-2420"	"type=DESEASE, form=Rouille"
"07_BSV_GC_16042013_cle83b3df"	"oter la présence de"	"rouille"	"naine sur une parce"	"3237-3244"	"type=DESEASE, form=rouille"
"08_BSV_ZNA_080714_cle0bae61"	"ignalés. Des foyers"	"d'oïdium"	"ont été recensés su"	"3083-3091"	"type=DESEASE, form=d'oïdium"
"08_BSV_ZNA_080714_cle0bae61"	"ur les cas recensés"	"d'oïdium"	", le risque est jugé"	"3469-3477"	"type=DESEASE, form=d'oïdium"
"08_BSV_ZNA_080714_cle0bae61"	"mildiou sur Rosiers"	"Oïdium"	"sur rosiers Puceron"	"4925-4931"	"type=DESEASE, form=Oïdium"
"09_bsv_ail_03052012_V3"	"ution ISSN en cours"	"Rouille"	"Risque très élevé."	"380-387"	"type=DESEASE, form=Rouille"
"09_bsv_ail_03052012_V3"	"NÉRAL DES CULTURES"	"Rouille"	"de l'ail (Puccinia"	"870-877"	"type=DESEASE, form=Rouille"
"09_bsv_ail_03052012_V3"	"e pustule mature de"	"rouille"	"n'est observée à ce"	"1588-1595"	"type=DESEASE, form=rouille"
"09_bsv_ail_03052012_V3"	"ustules orangées de"	"rouille"	"- CA81 BULLETIN DE"	"1828-1835"	"type=DESEASE, form=rouille"
"09_bsv_ail_03052012_V3"	"rs. Les pustules de"	"rouille"	"sont observées. Les"	"2002-2009"	"type=DESEASE, form=rouille"
"100311_BSV_Colza_tournesol"	"% des parcelles. Le"	"froid"	"freine toujours la"	"1128-1133"	"type=DESEASE, form=froid"
"100311_BSV_Colza_tournesol"	"es de pieds dues au"	"froid"	"sont signalées sur"	"1224-1229"	"type=DESEASE, form=froid"
"100624_BSV_Colza_tournesol"	"ou avec l'albugo La"	"rouille"	"blanche ou albugo e"	"2478-2485"	"type=DESEASE, form=rouille"
"100701_bsv_mais"	"nts. Par contre, la"	"rouille"	"(3 parcelles concer"	"7219-7226"	"type=DESEASE, form=rouille"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"e feuille dégainée."	"Rouille"	"jaune très active."	"427-434"	"type=DESEASE, form=Rouille"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"gainée à floraison."	"Rhynchosporiose"	"et helminthosporios"	"568-583"	"type=DESEASE, form=Rhynchosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"Rhynchosporiose et"	"helminthosporiose"	"dominantes. ORGE DE"	"587-604"	"type=DESEASE, form=helminthosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"à 1 Noeud. Présence"	"d'oïdium"	"et d'helminthospori"	"671-679"	"type=DESEASE, form=d'oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"résence d'oïdium et"	"d'helminthosporiose"	". POIS ET FÉVEROLES"	"683-702"	"type=DESEASE, form=d'helminthosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ctivité modérée des"	"sitones"	". MAÏS : Levées sont"	"780-787"	"type=DESEASE, form=sitones"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"3 AUTRES MALADIES"	"L'oïdium"	"n'a pas été observé"	"5627-5635"	"type=DESEASE, form=L'oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"servé. Photo-Cetiom"	"Oïdium"	"La cylindroporiose"	"5670-5676"	"type=DESEASE, form=Oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"igulée ou dégainée."	"ROUILLE"	"JAUNE SituationDes"	"8772-8779"	"type=DESEASE, form=ROUILLE"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ionDes symptômes de"	"rouille"	"jaune sont signalés"	"8812-8819"	"type=DESEASE, form=rouille"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"yello reste élevé."	"ROUILLE"	"BRUNE SituationDes"	"9277-9284"	"type=DESEASE, form=ROUILLE"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ionDes symptômes de"	"rouille"	"brune ont été signa"	"9317-9324"	"type=DESEASE, form=rouille"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"risque Bien que la"	"rouille"	"brune soit arrivée"	"9611-9618"	"type=DESEASE, form=rouille"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ul du 24 avril 2014"	"OÏDIUM"	"Source-ARVALIS Inst"	"11004-11010"	"type=DESEASE, form=OÏDIUM"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ntent des symptômes"	"d'oïdium"	"sur F3 et 2 d'entre"	"11091-11099"	"type=DESEASE, form=d'oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ge blanc. Symptômes"	"oïdium"	"Analyse de risque L"	"11538-11544"	"type=DESEASE, form=oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"m Analyse de risque"	"L'oïdium"	"est peu présent en"	"11563-11571"	"type=DESEASE, form=L'oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"DU PIED Présence de"	"piétin"	"verse dans 3 parcel"	"11727-11733"	"type=DESEASE, form=piétin"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"teints. Présence de"	"fusariose"	"en bas de tige dans"	"11803-11812"	"type=DESEASE, form=fusariose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ouchés. Présence de"	"rhizoctone"	"dans une parcelle a"	"11884-11894"	"type=DESEASE, form=rhizoctone"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"'une observation de"	"rhynchosporiose"	". 62% d'entre elles"	"12763-12778"	"type=DESEASE, form=rhynchosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"éralement indemnes."	"L'helminthosporiose"	"est présente sur F3"	"12911-12930"	"type=DESEASE, form=L'helminthosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"égétal Symptômes de"	"rhynchosporiose"	"sur orge Symptômes"	"13146-13161"	"type=DESEASE, form=rhynchosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"sur orge Symptômes"	"d'helminthosporiose"	"teres sur orge 7 S"	"13181-13200"	"type=DESEASE, form=d'helminthosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"rent la présence de"	"rouille"	"naine sur F3 (entre"	"13273-13280"	"type=DESEASE, form=rouille"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ntent des symptômes"	"d'oïdium"	"avec un faible nive"	"13413-13421"	"type=DESEASE, form=d'oïdium"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"nalyse de risque La"	"rhynchosporiose"	"et l'helminthospori"	"13629-13644"	"type=DESEASE, form=rhynchosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"rhynchosporiose et"	"l'helminthosporiose"	"sont toujours très"	"13648-13667"	"type=DESEASE, form=l'helminthosporiose"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"Nœud. Des symptômes"	"d'oïdium"	"ont été observés da"	"14058-14066"	"type=DESEASE, form=d'oïdium"
