"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/01F57Zd3vFWg1itsp44SIT8E.html"	"818"	"html"	"SOMMAIRE"	"Clémentinier"	"clémentinier"	"clémentinier"	"SOMMAIRE Clémentin"	"10-22"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Clementiniers, skos-prefLabel=clémentinier, lemma=clémentinier, form=Clémentinier"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/01F57Zd3vFWg1itsp44SIT8E.html"	"818"	"html"	"mentinier SOMMAIRE"	"Clémentinier"	"clémentinier"	"clémentinier"	"Bulletin de Santé d"	"33-45"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Clementiniers, skos-prefLabel=clémentinier, lemma=clémentinier, form=Clémentinier"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/01F57Zd3vFWg1itsp44SIT8E.html"	"818"	"html"	"concernent tous les"	"agrumes"	"agrume"	"agrume"	". Cochenille asiatiq"	"476-483"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Agrumes, skos-prefLabel=agrume, lemma=agrume, form=agrumes"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/01F57Zd3vFWg1itsp44SIT8E.html"	"818"	"html"	"conséquences sur un"	"verger"	"verger"	"arboriculture fruitière"	"adulte sont nulles"	"993-999"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere, skos-prefLabel=arboriculture fruitière, lemma=verger, form=verger"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/01F57Zd3vFWg1itsp44SIT8E.html"	"818"	"html"	"miosurveillance des"	"agrumes"	"agrume"	"agrume"	"comprend plusieurs"	"1265-1272"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Agrumes, skos-prefLabel=agrume, lemma=agrume, form=agrumes"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/01F57Zd3vFWg1itsp44SIT8E.html"	"818"	"html"	"bservées sur jeunes"	"clémentiniers"	"clémentinier"	"clémentinier"	"à Vescovato et à Sa"	"1714-1727"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Clementiniers, skos-prefLabel=clémentinier, lemma=clémentinier, form=clémentiniers"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"MIDI-PYRENEES"	"Raisin de table"	"raisin de table"	"vigne de table"	"- n°2 19 MIDI-PYRE"	"15-30"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, lemma=raisindetable, form=Raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"2 19 MIDI-PYRENEES"	"Raisin de table"	"raisin de table"	"vigne de table"	"- n°2 19 BULLETIN D"	"55-70"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, lemma=raisindetable, form=Raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"re de production du"	"raisin de table"	"raisin de table"	"vigne de table"	". Les observateurs a"	"1357-1372"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, lemma=raisindetable, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 2 DU 29 MARS 201"	"2068-2083"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, lemma=raisindetable, form=RAISIN DE TABLE"
