"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"MIDI-PYRENEES"	"Raisin de table"	"raisin de table"	"vigne de table"	"- n°2 19 MIDI-PYRE"	"15-30"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=Raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"2 19 MIDI-PYRENEES"	"Raisin de table"	"raisin de table"	"vigne de table"	"- n°2 19 BULLETIN D"	"55-70"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=Raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"re de production du"	"raisin de table"	"raisin de table"	"vigne de table"	". Les observateurs a"	"1357-1372"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 2 DU 29 MARS 201"	"2068-2083"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"on de production du"	"raisin de table"	"raisin de table"	"vigne de table"	"en particulier, ave"	"2582-2597"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"e pour le moment en"	"raisin de table"	"raisin de table"	"vigne de table"	", la conservation du"	"3537-3552"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 2 DU 29 MARS 201"	"4512-4527"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"st en cours (cf BSV"	"raisin"	"raisin"	"vigne"	"n°1). La cochenille"	"5758-5764"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne, lemma=raisin, form=raisin"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"l'animateur filière"	"raisin de table"	"raisin de table"	"vigne de table"	"du Syndicat du Chas"	"6103-6118"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"1216"	"html"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 2 DU 29 MARS 201"	"6825-6840"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"2817"	"html"	"MIDI-PYRENEES"	"Raisin de table"	"raisin de table"	"vigne de table"	"- n°4 19 BULLETIN D"	"16-31"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=Raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"2817"	"html"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 4 DU 12 AVRIL 20"	"1684-1699"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"2817"	"html"	"sont appelées vers"	"gris"	"gris"	"laitue romaine"	". Elles mesurent 5 c"	"2873-2877"	"IRI=http://ontology.inrae.fr/frenchcropusage/Laitues_romaines, tomap-candidate-head=grises, tomap-concept-synonym=Grise maraîchère, tomap-significant-head=grises, tomap-classifier=head, similarity=0.5, skos-prefLabel=laitue romaine, skos-prefLabel=laitue romaine, skos-prefLabel=laitue romaine, skos-prefLabel=laitue romaine, skos-prefLabel=laitue romaine, skos-prefLabel=laitue romaine, skos-prefLabel=laitue romaine, lemma=gris, form=gris"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"2817"	"html"	"es, des variétés de"	"raisin"	"raisin"	"vigne"	"ont atteint le stad"	"3828-3834"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne, lemma=raisin, form=raisin"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"2817"	"html"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 4 DU 12 AVRIL 20"	"3928-3943"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, lemma=raisindetable, form=RAISIN DE TABLE"
