"bsv"	"context before"	"locality"	"context after"	"location"	"features"
"01F57Zd3vFWg1itsp44SIT8E"	"é du Végétal Région"	"Corse"	"Agrumiculture N°4 2"	"82-87"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	"Santé du Végétal de"	"Corse"	"Agrumiculture : CDA"	"242-247"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	", CANICO, CIVAM BIO"	"CORSE"	", FREDON, INRA et AR"	"297-302"	"type=REG_NOM, $=Corse, form=CORSE"
"01F57Zd3vFWg1itsp44SIT8E"	"re d'Agriculture de"	"Corse"	"15 avenue Jean Zucc"	"1543-1548"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	"re d'Agriculture de"	"Corse"	"15 avenue Jean Zucc"	"1918-1923"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	"SIONS METEO - Haute-"	"Corse"	"JOURNEE DU MARDI 21"	"2054-2059"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	"fflent sur la Haute-"	"Corse"	", parfois renforcées"	"3247-3252"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	"a Balagne et le Cap"	"Corse"	", souffle sur notre"	"3598-3603"	"type=REG_NOM, $=Corse, form=Corse"
"01F57Zd3vFWg1itsp44SIT8E"	"rientant au secteur"	"Nord"	"-Est à Nord-Ouest. D"	"3686-3690"	"type=DEP_NOM, $=Nord, form=Nord"
"01F57Zd3vFWg1itsp44SIT8E"	"secteur Nord-Est à"	"Nord"	"-Ouest. DIMANCHE 26"	"3697-3701"	"type=DEP_NOM, $=Nord, form=Nord"
"01F57Zd3vFWg1itsp44SIT8E"	"souffle du secteur"	"Nord"	"-Est à Nord-Ouest. C"	"3890-3894"	"type=DEP_NOM, $=Nord, form=Nord"
"01F57Zd3vFWg1itsp44SIT8E"	"secteur Nord-Est à"	"Nord"	"-Ouest. Ce bulletin"	"3901-3905"	"type=DEP_NOM, $=Nord, form=Nord"
"01F57Zd3vFWg1itsp44SIT8E"	"le d'Agriculture de"	"Corse"	"dégage toute respon"	"4134-4139"	"type=REG_NOM, $=Corse, form=Corse"
"02_bsv_raisin_29032012_V3"	""	"MIDI-PYRENEES"	"Raisin de table - n"	"1-14"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=MIDI-PYRENEES"
"02_bsv_raisin_29032012_V3"	"de table - n°2 19"	"MIDI-PYRENEES"	"Raisin de table - n"	"41-54"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=MIDI-PYRENEES"
"02_bsv_raisin_29032012_V3"	"étéo France pour le"	"Tarn"	"et Garonne) Ven 30"	"405-409"	"type=DEP_NOM, $=Tarn, form=Tarn"
"02_bsv_raisin_29032012_V3"	"le d'Agriculture de"	"Midi-Pyrénées"	"BP 22107 31321 CAST"	"1913-1926"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=Midi-Pyrénées"
"02_bsv_raisin_29032012_V3"	"re d'agriculture du"	"Tarn"	"-et-Garonne, le CEFE"	"6237-6241"	"type=DEP_NOM, $=Tarn, form=Tarn"
"02_bsv_raisin_29032012_V3"	"la parcelle. La CRA"	"Midi-Pyrénées"	"dégage donc toute r"	"6501-6514"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=Midi-Pyrénées"
"04_bsv_raisin_12042012_V3"	""	"MIDI-PYRENEES"	"Raisin de table - n"	"2-15"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=MIDI-PYRENEES"
"04_bsv_raisin_12042012_V3"	"étéo France pour le"	"Tarn"	"et Garonne) Ven 13"	"493-497"	"type=DEP_NOM, $=Tarn, form=Tarn"
"04_bsv_raisin_12042012_V3"	"le d'Agriculture de"	"Midi-Pyrénées"	"BULLETIN DE SANTÉ D"	"1641-1654"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=Midi-Pyrénées"
"04_bsv_raisin_12042012_V3"	"re d'agriculture du"	"Tarn"	"-et-Garonne, le CEFE"	"5832-5836"	"type=DEP_NOM, $=Tarn, form=Tarn"
"04_bsv_raisin_12042012_V3"	"la parcelle. La CRA"	"Midi-Pyrénées"	"dégage donc toute r"	"6096-6109"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=Midi-Pyrénées"
"05_bsv_ail_05042012_V3"	"DE SANTE DU VEGETAL"	"MIDI-PYRENEES"	"Ail - n°5 5 avril 2"	"308-321"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=MIDI-PYRENEES"
"05_bsv_ail_05042012_V3"	"le d'Agriculture de"	"Midi-Pyrénées"	"BP 22107 31321 CAST"	"1847-1860"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=Midi-Pyrénées"
"05_bsv_ail_05042012_V3"	"ion, 2 parcelles du"	"Tarn"	"-et-Garonne présente"	"3745-3749"	"type=DEP_NOM, $=Tarn, form=Tarn"
"05_bsv_ail_05042012_V3"	"re d'agriculture du"	"Tarn"	"et élaboré sur la b"	"5858-5862"	"type=DEP_NOM, $=Tarn, form=Tarn"
"05_bsv_ail_05042012_V3"	"e de Haute-Garonne,"	"Gers"	", Tarn et Tarn-et-Ga"	"5978-5982"	"type=DEP_NOM, $=Gers, form=Gers"
"05_bsv_ail_05042012_V3"	"aute-Garonne, Gers,"	"Tarn"	"et Tarn-et-Garonne,"	"5984-5988"	"type=DEP_NOM, $=Tarn, form=Tarn"
"05_bsv_ail_05042012_V3"	"onne, Gers, Tarn et"	"Tarn"	"-et-Garonne, le CEFE"	"5992-5996"	"type=DEP_NOM, $=Tarn, form=Tarn"
"05_bsv_ail_05042012_V3"	"la parcelle. La CRA"	"Midi-Pyrénées"	"dégage donc toute r"	"6273-6286"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=Midi-Pyrénées"
"06_BSV_GC_05042011_cle8889ba"	"Sundgau et 13 mm au"	"nord"	"de la région), la p"	"1217-1221"	"type=DEP_NOM, $=Nord, form=nord"
"06_BSV_GC_05042011_cle8889ba"	"e phénomène rare en"	"Alsace"	"est souvent observé"	"1621-1627"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"06_BSV_GC_05042011_cle8889ba"	"es d'agriculture du"	"Bas-Rhin"	"et du Haut-Rhin, Cr"	"1819-1827"	"type=DEP_NOM, $=Bas-Rhin, form=Bas-Rhin"
"06_BSV_GC_05042011_cle8889ba"	"es d'agriculture du"	"Bas-Rhin"	"et du Haut-Rhin, Co"	"1952-1960"	"type=DEP_NOM, $=Bas-Rhin, form=Bas-Rhin"
"06_BSV_GC_05042011_cle8889ba"	"ricole, CAC, Fredon"	"Alsace"	", Ets Gustave Muller"	"2009-2015"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"06_BSV_GC_05042011_cle8889ba"	"Ets Lienhart, SRAL"	"Alsace"	", Ets Walch, Cristal"	"2056-2062"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"07_BSV_GC_16042013_cle83b3df"	"des avortements. En"	"Alsace"	", ce ravageur provoq"	"1132-1138"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"07_BSV_GC_16042013_cle83b3df"	"es d'agriculture du"	"Bas-Rhin"	"et du Haut-Rhin, Cr"	"2520-2528"	"type=DEP_NOM, $=Bas-Rhin, form=Bas-Rhin"
"07_BSV_GC_16042013_cle83b3df"	"es d'agriculture du"	"Bas-Rhin"	"et du Haut-Rhin, Co"	"2655-2663"	"type=DEP_NOM, $=Bas-Rhin, form=Bas-Rhin"
"07_BSV_GC_16042013_cle83b3df"	"ricole, CAC, Fredon"	"Alsace"	", Ets Gustave Muller"	"2712-2718"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"07_BSV_GC_16042013_cle83b3df"	"Ets Lienhart, SRAL"	"Alsace"	", Ets Walch, Cristal"	"2759-2765"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"08_BSV_ZNA_080714_cle0bae61"	"riculture de région"	"Alsace"	"2 rue de Rome BP 30"	"1234-1240"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"08_BSV_ZNA_080714_cle0bae61"	"Animateurs : Fredon"	"Alsace"	", Chambre d'agricult"	"1370-1376"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"08_BSV_ZNA_080714_cle0bae61"	".C. Ampelys, Fredon"	"Alsace"	"Evolution du risqu"	"1768-1774"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"08_BSV_ZNA_080714_cle0bae61"	"rée. Photo : FREDON"	"ALSACE"	"Evolution du risque"	"2596-2602"	"type=REG_NOM_OLD, $=Alsace, form=ALSACE"
"091008_Bsv_cereales"	"onale d'Agriculture"	"Champagne-Ardenne"	"sur la base des obs"	"206-223"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091008_Bsv_cereales"	"d'Agriculture de la"	"Marne"	"et SOUFFLET AGRICUL"	"746-751"	"type=DEP_NOM, $=Marne, form=Marne"
"091008_Bsv_cereales"	"eurs à risque de la"	"Champagne-Ardenne"	"(barrois en particu"	"1132-1149"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091008_Bsv_cereales"	"céréales d'hiver en"	"Champagne-Ardenne"	". Les premières obse"	"3240-3257"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091008_Bsv_cereales"	"s précoces en Haute-"	"marne"	"de céréales montren"	"3329-3334"	"type=DEP_NOM, $=Marne, form=marne"
"091015_Bsv_cereales"	"onale d'Agriculture"	"Champagne-Ardenne"	"sur la base des obs"	"206-223"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091015_Bsv_cereales"	"eurs à risque de la"	"Champagne-Ardenne"	"(barrois en particu"	"1208-1225"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091015_Bsv_cereales"	"céréales d'hiver en"	"Champagne-Ardenne"	". 31 parcelles ont é"	"3492-3509"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091015_Bsv_cereales"	"es cette semaine en"	"Champagne-Ardenne"	"(1/3 escourgeon, 2/"	"3559-3576"	"type=REG_NOM_OLD, $=Champagne-Ardenne, form=Champagne-Ardenne"
"091015_Bsv_cereales"	"tre le stade levée ("	"Ardennes"	", Marne, Aube) et le"	"3654-3662"	"type=DEP_NOM, $=Ardennes, form=Ardennes"
"091015_Bsv_cereales"	"de levée (Ardennes,"	"Marne"	", Aube) et le stade"	"3664-3669"	"type=DEP_NOM, $=Marne, form=Marne"
"091015_Bsv_cereales"	"e (Ardennes, Marne,"	"Aube"	") et le stade 2-3 fe"	"3671-3675"	"type=DEP_NOM, $=Aube, form=Aube"
"091015_Bsv_cereales"	"lus précoces (Haute-"	"Marne"	"). Les observations"	"3750-3755"	"type=DEP_NOM, $=Marne, form=Marne"
"091015_Bsv_cereales"	"23% des parcelles ("	"Aube"	"et Haute-Marne). Un"	"3985-3989"	"type=DEP_NOM, $=Aube, form=Aube"
"091015_Bsv_cereales"	"lles (Aube et Haute-"	"Marne"	"). Une parcelle en H"	"3999-4004"	"type=DEP_NOM, $=Marne, form=Marne"
"091015_Bsv_cereales"	"e parcelle en Haute-"	"Marne"	"dépasse le seuil de"	"4029-4034"	"type=DEP_NOM, $=Marne, form=Marne"
"09_BSV_TB_260914_cle448c88"	"riculture de région"	"Alsace"	"Action pilotée par"	"1112-1118"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"09_BSV_TB_260914_cle448c88"	"riculture de région"	"Alsace"	"2 rue de Rome CS 30"	"1394-1400"	"type=REG_NOM_OLD, $=Alsace, form=Alsace"
"09_bsv_ail_03052012_V3"	"DE SANTE DU VEGETAL"	"MIDI-PYRENEES"	"Ail n°9 3 mai 2012"	"308-321"	"type=REG_NOM_OLD, $=Midi-Pyrénées, form=MIDI-PYRENEES"
"09_bsv_ail_03052012_V3"	"x d'observations du"	"Gers"	", du Tarn et du Tarn"	"1361-1365"	"type=DEP_NOM, $=Gers, form=Gers"
