"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"07_BSV_GC_16042013_cle83b3df"	"635"	"html"	"des varient entre """	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	""" (stade C2) et "" b"	"139-154"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"091008_Bsv_cereales"	"596"	"html"	"éréales en cours de"	"levée"	"levée"	"stade secondaire BBCH 009 "	". La cicadelle Psamm"	"1876-1881"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"091015_Bsv_cereales"	"807"	"html"	"éréales en cours de"	"levée"	"levée"	"stade secondaire BBCH 009 "	". La cicadelle Psamm"	"2029-2034"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"091015_Bsv_cereales"	"807"	"html"	"is applicable de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 3 feuilles"	"2197-2202"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"09_bsv_ail_03052012_V3"	"1114"	"html"	"lle développée à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"a disparu. Par exem"	"703-708"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"100916_BSV_Colza_Tournesol_S37"	"884"	"html"	"ce. Les densités de"	"levées"	"levée"	"stade secondaire BBCH 009 "	"peuvent être faible"	"1460-1466"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"100916_BSV_Colza_Tournesol_S37"	"884"	"html"	"risque : depuis la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"jusqu'au stade 3 fe"	"1984-1989"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"100916_BSV_Colza_Tournesol_S37"	"884"	"html"	"risque adulte de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 3 feuilles"	"2130-2135"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"100916_BSV_Colza_Tournesol_S37"	"884"	"html"	"r les larves, de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"jusqu'à 6 feuilles,"	"3042-3047"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"des favorables à la"	"germination"	"germination"	"stade principal BBCH 0"	"des sclérotes Ensui"	"5212-5223"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	". Le stade varie de"	"germination"	"germination"	"stade principal BBCH 0"	"en cours à 2 feuill"	"5962-5973"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"parcelle) entre la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"et le stade 6 feuil"	"14849-14854"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"sence de mottes. La"	"levée"	"levée"	"stade secondaire BBCH 009 "	"a commencé dans une"	"16309-16314"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"ion du produit. Les"	"levées"	"levée"	"stade secondaire BBCH 009 "	"étant proches, à ce"	"17436-17442"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"ariétale dès 30% de"	"levée"	"levée"	"stade secondaire BBCH 009 "	".Si la parcelle se s"	"18016-18021"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"ces difficultés de"	"levée"	"levée"	"stade secondaire BBCH 009 "	". Stade de la cultur"	"19075-19080"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"des difficultés de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"liées à la sécheres"	"19530-19535"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"4068"	"html"	"l'année lors de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	". Ils sont généralem"	"20406-20411"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"1461"	"html"	"n avant qu'après la"	"levée"	"levée"	"stade secondaire BBCH 009 "	". Morsures dans les"	"7069-7074"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"1461"	"html"	"t des"" manques à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	""" Morsures de cotyl"	"7134-7139"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"2015"	"html"	"ce stade. Stade E1 ("	"BBCH 51"	"BBCH @card@"	"stade secondaire BBCH 51"	") : Le premier bouto"	"7636-7643"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH51, skos-prefLabel=stade secondaire BBCH 51, form=BBCH 51"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"2015"	"html"	": CETIOM) Stade E5 ("	"BBCH 55"	"BBCH @card@"	"stade secondaire BBCH 55"	") : Le deuxième bout"	"7762-7769"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH55, skos-prefLabel=stade secondaire BBCH 55, form=BBCH 55"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"2015"	"html"	"eux- N° 9 Stade E7 ("	"BBCH 57"	"BBCH @card@"	"stade secondaire BBCH 57"	") : Bouton fermé mai"	"8597-8604"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH57, skos-prefLabel=stade secondaire BBCH 57, form=BBCH 57"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"2015"	"html"	": CETIOM) Stade F5 ("	"BBCH 65"	"BBCH @card@"	"stade secondaire BBCH 65"	") : 50 % des fleurs"	"8710-8717"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH65, skos-prefLabel=stade secondaire BBCH 65, form=BBCH 65"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"2015"	"html"	": CETIOM) Stade F9 ("	"BBCH 69"	"BBCH @card@"	"stade secondaire BBCH 69"	") : La floraison se"	"8966-8973"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH69, skos-prefLabel=stade secondaire BBCH 69, form=BBCH 69"
"131009_BSV_Lin__Oleagineux_1_cle8152f3"	"891"	"html"	"semaine sont toutes"	"levées"	"levée"	"stade secondaire BBCH 009 "	". En région Centre ("	"740-746"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
