"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"deseases"	"stages"	"context before"	"context after"	"location"	"features"
"01F57Zd3vFWg1itsp44SIT8E"	"H1
H1
H1
H1
H2
P
H1"	"SOMMAIRE"	"SOMMAIRE
Clémentinier
Bulletin de Santé du Végétal Région Corse
Agrumiculture
N°4 21 Juin 2011
Structures partenaires dans la réalisation des observations nécessaires à l'élaboration du Bulletin de Santé du Végétal de Corse Agrumiculture : CDA 2B, CAPIC, CANICO, CIVAM BIO CORSE, FREDON, INRA et AREFLEC.
CLEMENTINIER"	"clémentinier"	""	""	""	"MAIRE Clémentinier"	"PrévisionsStade phé"	"24-341"	"type=SOMMAIRE, form=SOMMAIRE
Clémentinier
Bulletin de Santé du Végétal Région Corse
Agrumiculture
N°4 21 Juin 2011
Structures partenaires dans la réalisation des observations nécessaires à l'élaboration du Bulletin de Santé du Végétal de Corse Agrumiculture : CDA 2B, CAPIC, CANICO, CIVAM BIO CORSE, FREDON, INRA et AREFLEC.
CLEMENTINIER"
"02_bsv_raisin_29032012_V3"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."	""	""	""	""	"ances 29 PHÉNOLOGIE"	"Avec le temps chaud"	"548-795"	"type=FINANCEMENT, form=Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."
"04_bsv_raisin_12042012_V3"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."	""	""	""	""	"5 17 23 27 33 35 37"	"Bourgeon d'hiver Bo"	"687-934"	"type=FINANCEMENT, form=Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."
"05_bsv_ail_05042012_V3"	"HEAD
META
TITLE
SMALL
P"	"FINANCEMENT"	"
BULLETIN DE SANTE DU VEGETAL

Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."	""	""	""	""	""	"BULLETIN DE SANTE D"	"0-278"	"type=FINANCEMENT, form=
BULLETIN DE SANTE DU VEGETAL

Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."
"08_BSV_ZNA_080714_cle0bae61"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."	""	""	""	""	"nts Très importants"	""	"5074-5316"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."
"09_BSV_TB_260914_cle448c88"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."	""	""	""	""	"re de région Alsace"	"Chambre d'agricultu"	"1119-1361"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."
"09_bsv_ail_03052012_V3"	"HEAD
META
TITLE
SMALL
P"	"FINANCEMENT"	"
BULLETIN DE SANTE DU VEGETAL

Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."	""	""	""	""	""	"BULLETIN DE SANTE D"	"0-278"	"type=FINANCEMENT, form=
BULLETIN DE SANTE DU VEGETAL

Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."
"100701_bsv_mais"	"H4
P"	"RISQUE"	"AUTRES OBSERVATIONS :
Des auxiliaires tels que la coccinelle et le syrphe commencent à être observés. Il est important de suivre la dynamique d'évolution des populations d'auxiliaires en parallèle de celle des pucerons."	""	"pucerons"	""	""	"ne 26 - 01/07/2010"	"Principaux auxiliai"	"3978-4197"	"type=RISQUE, form=AUTRES OBSERVATIONS :
Des auxiliaires tels que la coccinelle et le syrphe commencent à être observés. Il est important de suivre la dynamique d'évolution des populations d'auxiliaires en parallèle de celle des pucerons."
"100701_bsv_mais"	"H3
P"	"RISQUE"	"RESEAU D'OBSERVATIONS PROTEAGINEUX
La rédaction de ce bulletin est basée sur des observations réalisées dans 9 parcelles de pois de printemps et 5 parcelles de féveroles de printemps."	"pois protéagineux de printemps,
féverole de printemps"	""	""	""	"tal - Elise Vannier"	"POIS PROTEAGINEUX d"	"4500-4683"	"type=RISQUE, form=RESEAU D'OBSERVATIONS PROTEAGINEUX
La rédaction de ce bulletin est basée sur des observations réalisées dans 9 parcelles de pois de printemps et 5 parcelles de féveroles de printemps."
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office National de l'Eau et des Milieux Aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan ECOPHYTO 2018."	""	""	""	""	"ochu@champagrica.fr"	"12"	"22664-22911"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office National de l'Eau et des Milieux Aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan ECOPHYTO 2018."
