	Line	Column	Rule ID	Prio	Message	Word	Suggestion
0	4	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	%des	des; dès; dés; odes; ides
1	8	2	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	'identit	identité
2	9	1			Ne placez pas d’espace après une parenthèse ouvrante	(	(
3	14	7			Ne placez pas d’espace avant une parenthèse fermante	(stade	)
4	17	2	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 1 °C » ?	+1°C	1 °C
5	18	2	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 2 °C » ?	+2°C	2 °C
6	18	5			Insérez une espace après la virgule et non avant	+2°C	,
7	19	2			Deux virgules consécutives	,	,
8	21	2			Ne placez pas d’espace avant le point	-	.
9	23	1			Ne placez pas d’espace avant le point	.	.
10	24	5			Ne placez pas d’espace avant le point	- de	.
11	26	3			Voulez-vous écrire « sûr » ?	- sur	sûr
12	26	6			Ne placez pas d’espace avant le point	- sur	.
13	27	7			Ne placez pas d’espace avant le point	. - le	.
14	68	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	0parcelles	parcelles; parcellés
15	71	6	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 16 °C » ?	10 - 16°C	16 °C
16	73	5	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 15 °C » ?	10- 15°C	15 °C
17	79	1	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 10 mm » ?	10mm	10 mm
18	80	1	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 10 °C » ?	10°C	10 °C
19	84	1	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 116 mm » ?	116mm	116 mm
20	86	1			La lettre h doit être espacée dans les heures abrégées.	11h	11 h; 11:00
21	87	1	ESPACE_UNITES[1] 	1	Il faut utiliser une espace insécable avant l’unité. Voulez-vous écrire « 11 °C » ?	11°C	11 °C
