"bsv"	"context"	"word"	"context"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"1 Pluri-annuelles ("	"prairies, jachères"	") 5 Colza/Blé Maïs/"	"4028-4046"	"type=CONJ_PATTERN, form=prairies, jachères"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"a dans la rotation ("	"colza, tournesol, soja, pois"	") Les attaques rece"	"4362-4390"	"type=CONJ_PATTERN, form=colza, tournesol, soja, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a dans la rotation ("	"colza, tournesol, pois"	") ;- les conditions"	"11849-11871"	"type=CONJ_PATTERN, form=colza, tournesol, pois"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"a. Observations Sur"	"pois et féverole"	", des encoches sont"	"13692-13708"	"type=CONJ_PATTERN, form=pois et féverole"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"a dans la rotation ("	"colza, tournesol, soja, pois"	")- Les attaques rec"	"16410-16438"	"type=CONJ_PATTERN, form=colza, tournesol, soja, pois"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"a dans la rotation ("	"colza, tournesol, soja, pois"	")- Les attaques rec"	"9837-9865"	"type=CONJ_PATTERN, form=colza, tournesol, soja, pois"
"BSV-GC-n__36-22102019_cle43a7f1"	"ngluées relevées en"	"blé et escourgeon"	", nous observons 1,"	"1301-1318"	"type=CONJ_PATTERN, form=blé et escourgeon"
"BSV-GC-n__36-22102019_cle43a7f1"	"engluées relevées ("	"blé et orge"	") : 9 présentent des"	"2080-2091"	"type=CONJ_PATTERN, form=blé et orge"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"DON64 Piétin verse ("	"Blé et triticale"	") L'estimation du ri"	"7525-7541"	"type=CONJ_PATTERN, form=Blé et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"Fusariose des épis ("	"Blé et triticale"	") : vigilance à l'ap"	"2113-2129"	"type=CONJ_PATTERN, form=Blé et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"s (Fiche technique)"	"Les blés et triticale"	"entrent dans la pér"	"13091-13112"	"type=CONJ_PATTERN, form=Les blés et triticale"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"Rotation à base de"	"colza, céréales et fourrages"	": offrant nourritur"	"13518-13546"	"type=CONJ_PATTERN, form=colza, céréales et fourrages"
"BSV_GC_n_01_du_28_aout_2018_cle098cfb"	"p 02 Tournesol p 07"	"Tournesol et colza"	"Soja p 08 Début de"	"438-456"	"type=CONJ_PATTERN, form=Tournesol et colza"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"ures à risque comme"	"tournesol et soja"	"), déchaumage et fau"	"20593-20610"	"type=CONJ_PATTERN, form=tournesol et soja"
"BSV_GC_n_33_du_2_07_19_cle0b813e"	"ures à risque comme"	"tournesol et soja"	"), déchaumage et fau"	"3239-3256"	"type=CONJ_PATTERN, form=tournesol et soja"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"horticulture. Pour"	"24693-24729"	"type=CONJ_PATTERN, form=arboriculture, maraîchage, pépinière"
"BSV_GRANDES_CULTURES_2019_No24_cle0c9cf1"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"horticulture. Pour"	"16376-16412"	"type=CONJ_PATTERN, form=arboriculture, maraîchage, pépinière"
"BSV_GRANDES_CULTURES_2019_No7_cle8446d7"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"horticulture, JEVI."	"16210-16246"	"type=CONJ_PATTERN, form=arboriculture, maraîchage, pépinière"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"délégués Céréales à"	"paille et Maïs"	"Sandrine REGALDO et"	"459-473"	"type=CONJ_PATTERN, form=paille et Maïs"
"BSV_NA_GC_Poitou-Charentes_19_20190618_cle869d2b"	"délégués Céréales à"	"paille et Maïs"	"Sandrine REGALDO et"	"603-617"	"type=CONJ_PATTERN, form=paille et Maïs"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"délégués Céréales à"	"paille et Maïs"	"Sandrine REGALDO et"	"428-442"	"type=CONJ_PATTERN, form=paille et Maïs"
"BSV_cereales_paille_02_du_29-10-19_cle8cbcac"	"microclimat humide ("	"colza, trèfle"	", repousses de céréa"	"10379-10392"	"type=CONJ_PATTERN, form=colza, trèfle"
"BSV_cereales_paille_02_du_29-10-19_cle8cbcac"	"s rotations avec du"	"colza, céréales"	"et fourrages leurs"	"16577-16592"	"type=CONJ_PATTERN, form=colza, céréales"
"BSV_cereales_paille_02_du_29-10-19_cle8cbcac"	"s moins appétentes ("	"moutarde, phacélie"	"). Symptômes Au-delà"	"17388-17406"	"type=CONJ_PATTERN, form=moutarde, phacélie"
"BSV_cereales_paille_06_du_26-11-19_cle81855b"	"microclimat humide ("	"colza, trèfle"	", repousses de céréa"	"10750-10763"	"type=CONJ_PATTERN, form=colza, trèfle"
"BSV_cereales_paille_06_du_26-11-19_cle81855b"	"s rotations avec du"	"colza, céréales"	"et fourrages leurs"	"16663-16678"	"type=CONJ_PATTERN, form=colza, céréales"
"BSV_cereales_paille_06_du_26-11-19_cle81855b"	"s moins appétentes ("	"moutarde, phacélie"	"). Symptômes Au-delà"	"17474-17492"	"type=CONJ_PATTERN, form=moutarde, phacélie"
"BSV_cereales_paille_15_du_16-04-19_cle81e145"	"fine des résidus de"	"maïs et sorgho"	". Choix variétal. I"	"44935-44949"	"type=CONJ_PATTERN, form=maïs et sorgho"
"BSV_cereales_paille_15_du_16-04-19_cle81e145"	"labour"	"Maïs, sorgho"	"Grain Labou"	"46287-46299"	"type=CONJ_PATTERN, form=Maïs, sorgho"
"BSV_no6_du_26-03-19_cle8da969"	"s dans la rotation ("	"pois, luzerne, colza"	", ). Une attention p"	"5856-5876"	"type=CONJ_PATTERN, form=pois, luzerne, colza"
"alsace_gdes_cultures_no10_du_30-04-19_cle015281"	"a dans la rotation ("	"colza, tournesol, soja, pois"	")Les attaques recen"	"2224-2252"	"type=CONJ_PATTERN, form=colza, tournesol, soja, pois"
"bsv_02_gc_26_fev_2019_cle49dcfd"	"RÉSENT CÉRÉALES"	"Blé et orge"	"d'hiver : Cette sem"	"263-274"	"type=CONJ_PATTERN, form=Blé et orge"
"bsv_gc_arcmed_n09_13062019_cle4a8a8c"	"sur les résidus de"	"culture et les semences"	". Symptômes d'ascoch"	"3190-3213"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_arcmed_n09_13062019_cle4a8a8c"	"sur les résidus de"	"culture et les semences"	". L'utilisation de s"	"3615-3638"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_arcmed_n09_3262159476651410763_cle013bb3"	"sur les résidus de"	"culture et les semences"	". Symptômes d'ascoch"	"3190-3213"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_arcmed_n09_3262159476651410763_cle013bb3"	"sur les résidus de"	"culture et les semences"	". L'utilisation de s"	"3615-3638"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_arcmed_n12_04072019_cle43eb7b"	"sur les résidus de"	"culture et les semences"	". Évaluation du risq"	"3484-3507"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_arcmed_n12_04072019_cle43eb7b"	"sur les résidus de"	"culture et les semences"	". L'utilisation de s"	"3798-3821"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_mp_n11_12122019_cle0bba99"	"celles en précédent"	"paille et colza"	". C EREALES A PAILLE"	"1093-1108"	"type=CONJ_PATTERN, form=paille et colza"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"lza en particulier ("	"tournesol, soja, cultures"	"légumières ) - les"	"10697-10722"	"type=CONJ_PATTERN, form=tournesol, soja, cultures"
"bsv_gc_mp_n33_27062019_cle051c4f"	"sur les résidus de"	"culture et les semences"	". Évaluation du risq"	"11481-11504"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_gc_mp_n33_27062019_cle051c4f"	"sur les résidus de"	"culture et les semences"	". L'utilisation de s"	"11998-12021"	"type=CONJ_PATTERN, form=culture et les semences"
"bsv_grandes_cultures_n10_22112018_cle815c16"	"celles en précédent"	"paille et colza"	"sont à surveiller a"	"1084-1099"	"type=CONJ_PATTERN, form=paille et colza"
"bsv_grandes_cultures_n10_22112018_cle815c16"	"lage) en précédents"	"paille et colza"	". L'analyse de risqu"	"13574-13589"	"type=CONJ_PATTERN, form=paille et colza"
"char_gdes_Cultures_no11_du_30-04-19_cle096f9c"	"a dans la rotation ("	"colza, tournesol, pois"	") ;- Les conditions"	"14046-14068"	"type=CONJ_PATTERN, form=colza, tournesol, pois"
"char_gdes_Cultures_no14_du_22-05-19_cle0b1586"	"aux repousses dans"	"les céréales, les betteraves"	"et dans les jardins"	"28504-28532"	"type=CONJ_PATTERN, form=les céréales, les betteraves"
"20180802_bsvmaraichage_19_cle04c2cf"	"is suivies. Altise ("	"Choux, Radis, Roquette"	") La pression altise"	"6455-6477"	"type=CONJ_PATTERN, form=Choux, Radis, Roquette"
"20180802_bsvmaraichage_19_cle04c2cf"	"ivies de la région ("	"choux, radis, roquette"	", etc..). Des petits"	"6604-6626"	"type=CONJ_PATTERN, form=choux, radis, roquette"
"20180920_bsvmaraichage_cle0649bf"	"impératif. Altises ("	"Navet, Rutabaga, Choux"	") Les populations d'"	"2884-2906"	"type=CONJ_PATTERN, form=Navet, Rutabaga, Choux"
"20180920_bsvmaraichage_cle0649bf"	"sieurs parcelles de"	"navet, choux, rutabaga"	"sur le 49. Les cond"	"3043-3065"	"type=CONJ_PATTERN, form=navet, choux, rutabaga"
"20180920_bsvmaraichage_cle0649bf"	"asse-Goulaine (44)."	"Courgette et Potiron"	": parcelles flottan"	"5343-5363"	"type=CONJ_PATTERN, form=Courgette et Potiron"
"20180920_bsvmaraichage_cle0649bf"	"asse-Goulaine (44)."	"Courgette et Potiron"	": parcelles flottan"	"7117-7137"	"type=CONJ_PATTERN, form=Courgette et Potiron"
"20180920_bsvmaraichage_cle0649bf"	". Maladies Oïdium ("	"Concombre, Courgette, Potiron"	") Depuis plusieurs s"	"7185-7214"	"type=CONJ_PATTERN, form=Concombre, Courgette, Potiron"
"20180920_bsvmaraichage_cle0649bf"	"(49) en parcelle de"	"concombre et courgette"	"et à Beaufort-en-Va"	"7626-7648"	"type=CONJ_PATTERN, form=concombre et courgette"
"20180920_bsvmaraichage_cle0649bf"	"Drosophila suzukii ("	"Fraisier , Framboisier"	") Les populations de"	"9335-9357"	"type=CONJ_PATTERN, form=Fraisier , Framboisier"
"20181011_bsvmaraichage_27_cle09c363"	"gumières : carotte,"	"tomate, concombre"	",... Les populations"	"798-815"	"type=CONJ_PATTERN, form=tomate, concombre"
"20181011_bsvmaraichage_27_cle09c363"	"du chou et altise ("	"Chou, Navet"	") Les populations de"	"5430-5441"	"type=CONJ_PATTERN, form=Chou, Navet"
"20181011_bsvmaraichage_27_cle09c363"	"pas de risque pour"	"les panais et céleri"	"en production. Mouc"	"7157-7177"	"type=CONJ_PATTERN, form=les panais et céleri"
"20181011_bsvmaraichage_27_cle09c363"	"ctonia et Botrytis ("	"Laitue, Mâche"	") Sur Pont-St-Martin"	"9735-9748"	"type=CONJ_PATTERN, form=Laitue, Mâche"
"20190502_BSV_legumes_cle079711"	"ns, décolorations)."	"Les aubergines et poivrons"	"ont été plantées la"	"24438-24464"	"type=CONJ_PATTERN, form=Les aubergines et poivrons"
"20190502_BSV_legumes_cle079711"	"estez vigilants sur"	"les aubergines et poivrons"	"qui sont les cultur"	"25116-25142"	"type=CONJ_PATTERN, form=les aubergines et poivrons"
"20190731_BSV_legumes_cle01d6c6"	"cultivées (carotte,"	"luzerne, betterave"	") mais également sa"	"18840-18858"	"type=CONJ_PATTERN, form=luzerne, betterave"
"20190828_BSV_legumes_cle0ede1d"	"cultivées (carotte,"	"luzerne, betterave"	") mais également sa"	"17647-17665"	"type=CONJ_PATTERN, form=luzerne, betterave"
"20190828_BSV_legumes_cle0ede1d"	"notamment en choux"	"légumes et choux"	"à choucroute. Sur l"	"23115-23131"	"type=CONJ_PATTERN, form=légumes et choux"
"20190828_BSV_legumes_cle0ede1d"	"c le plus souvent)."	"Les navets et radis"	"noirs récemment sem"	"41795-41814"	"type=CONJ_PATTERN, form=Les navets et radis"
"20199062_bsvmaraichage_no27_cle051121-1"	"Crédit photo : CDDL"	"Fraisier et Framboisiers"	"Drosophila suzukii"	"4933-4957"	"type=CONJ_PATTERN, form=Fraisier et Framboisiers"
"20199062_bsvmaraichage_no27_cle051121-1"	"llez vos parcelles."	"Carotte, Panais et Céleri"	"L'oïdium se dévelop"	"7361-7386"	"type=CONJ_PATTERN, form=Carotte, Panais et Céleri"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"s'en prend aussi au"	"citron, goyave, banane"	", nèfle du Japon, to"	"21916-21938"	"type=CONJ_PATTERN, form=citron, goyave, banane"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ne, nèfle du Japon,"	"tomate, cerise"	"de Cayenne, fruit d"	"21956-21970"	"type=CONJ_PATTERN, form=tomate, cerise"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"e la passion, kaki,"	"ananas, pêche, poire, abricot, figue"	"et café. Les légume"	"22010-22046"	"type=CONJ_PATTERN, form=ananas, pêche, poire, abricot, figue"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	". Comme les autres m"	"22093-22133"	"type=CONJ_PATTERN, form=les tomates, poivrons, melons et courges"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	", oliviers, Prunus ("	"pêchers, amandiers"	"), laurier rose, vig"	"22610-22628"	"type=CONJ_PATTERN, form=pêchers, amandiers"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ers), laurier rose,"	"vigne, agrumes"	", caféiers, chênes,"	"22645-22659"	"type=CONJ_PATTERN, form=vigne, agrumes"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"erte (Nezara) pique"	"les fruits et fleurs"	", des ponctuations a"	"6059-6079"	"type=CONJ_PATTERN, form=les fruits et fleurs"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"s'en prend aussi au"	"citron, goyave, banane"	", nèfle du Japon, to"	"17991-18013"	"type=CONJ_PATTERN, form=citron, goyave, banane"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"ne, nèfle du Japon,"	"tomate, cerise"	"de Cayenne, fruit d"	"18031-18045"	"type=CONJ_PATTERN, form=tomate, cerise"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"e la passion, kaki,"	"ananas, pêche, poire, abricot, figue"	"et café. Les légume"	"18085-18121"	"type=CONJ_PATTERN, form=ananas, pêche, poire, abricot, figue"
