"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"html"	"2015"	"P."	"ce stade. Stade E1 ("	"BBCH 51"	"BBCH @card@"	""	") : Le premier bouto"	"7636-7643"	"type=BBCH-DD, canonical-form=BBCH 51, form=BBCH 51"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"html"	"2015"	"P."	": CETIOM) Stade E5 ("	"BBCH 55"	"BBCH @card@"	""	") : Le deuxième bout"	"7762-7769"	"type=BBCH-DD, canonical-form=BBCH 55, form=BBCH 55"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"html"	"2015"	"P."	"eux- N° 9 Stade E7 ("	"BBCH 57"	"BBCH @card@"	""	") : Bouton fermé mai"	"8597-8604"	"type=BBCH-DD, canonical-form=BBCH 57, form=BBCH 57"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"html"	"2015"	"P."	": CETIOM) Stade F5 ("	"BBCH 65"	"BBCH @card@"	""	") : 50 % des fleurs"	"8710-8717"	"type=BBCH-DD, canonical-form=BBCH 65, form=BBCH 65"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"html"	"2015"	"H4."	": CETIOM) Stade F1 ("	"BBCH 59 - 60"	"BBCH @card@"	""	") : La première fleu"	"8801-8813"	"type=BBCH-DD, canonical-form=BBCH 59 - 60, form=BBCH 59 - 60"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17.html"	"html"	"2015"	"P."	": CETIOM) Stade F9 ("	"BBCH 69"	"BBCH @card@"	""	") : La floraison se"	"8966-8973"	"type=BBCH-DD, canonical-form=BBCH 69, form=BBCH 69"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"html"	"891"	"H2."	"gineux- 1 Stade A1 ("	"BBCH 08"	"BBCH @card@"	""	") : Fendillement du"	"3819-3826"	"type=BBCH-DD, canonical-form=BBCH 08, form=BBCH 08"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"html"	"891"	"H2."	"imminente Stade A2 ("	"BBCH 09"	"BBCH @card@"	""	") : Levée cotylédons"	"3876-3883"	"type=BBCH-DD, canonical-form=BBCH 09, form=BBCH 09"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"html"	"891"	"P."	": CETIOM) Stade B1 ("	"BBCH 12"	"BBCH @card@"	""	") : les deux premièr"	"3977-3984"	"type=BBCH-DD, canonical-form=BBCH 12, form=BBCH 12"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/131009_BSV_Lin__Oleagineux_1_cle8152f3.html"	"html"	"891"	"P."	"visibles Stade B2 ("	"BBCH 14"	"BBCH @card@"	""	") : 4 feuilles sont"	"4040-4047"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
