"bsv"	"type"	"length"	"context"	"word"	"prefLabel"	"context"	"location"	"features"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"e pour le moment en"	"raisin de table, la conservation du champignon"	""	"est assurée par les"	"3537-3583"	"type=N_PUN_N, match=fcu, form=raisin de table, la conservation du champignon"
"04_bsv_raisin_12042012_V3"	"html"	"16803"	"Al-SDQPV et ANAMSO ("	"colza, p"	""	".2) En butinant de f"	"6979-6987"	"type=N_PUN_N, match=fcu, form=colza, p"
"04_bsv_raisin_12042012_V3"	"html"	"16803"	"utinant de fleur en"	"fleur, les insectes"	""	"pollinisateurs part"	"7015-7034"	"type=N_PUN_N, match=fcu, form=fleur, les insectes"
"07_BSV_GC_16042013_cle83b3df"	"html"	"3468"	"ts. En cas de forte"	"attaque, la floraison des colzas"	""	"peut être fortement"	"1213-1245"	"type=N_PUN_N, match=fcu, form=attaque, la floraison des colzas"
"07_BSV_GC_16042013_cle83b3df"	"html"	"3468"	"ise. Dans certaines"	"situations, le colza"	""	"n'arrive pas à fleu"	"1293-1313"	"type=N_PUN_N, match=fcu, form=situations, le colza"
"07_BSV_GC_16042013_cle83b3df"	"html"	"3468"	"isques charançon de"	"la tige du colza et méligèthes"	""	"peut être envisagée"	"1464-1494"	"type=N_KON_N, match=fcu, form=la tige du colza et méligèthes"
"08_BSV_ZNA_080714_cle0bae61"	"html"	"5318"	"is Tigre du Platane"	"Maladies et ravageurs des Rosiers"	""	"Maladies des gazons"	"522-555"	"type=N_KON_N, match=fcu, form=Maladies et ravageurs des Rosiers"
"08_BSV_ZNA_080714_cle0bae61"	"html"	"5318"	"dérés à importants."	"Maladies et ravageurs des rosiers"	""	"Situation actuelle"	"2875-2908"	"type=N_KON_N, match=fcu, form=Maladies et ravageurs des rosiers"
"091008_Bsv_cereales"	"html"	"3529"	"ECéréales d'hiver :"	"escourgeons et blé"	""	"Semaine 41 08/10/20"	"89-107"	"type=N_KON_N, match=fcu, form=escourgeons et blé"
"091015_Bsv_cereales"	"html"	"4333"	"ECéréales d'hiver :"	"escourgeons et blé"	""	"Semaine 42 15/10/20"	"89-107"	"type=N_KON_N, match=fcu, form=escourgeons et blé"
"100311_BSV_Colza_tournesol"	"html"	"2421"	"oid freine toujours"	"la croissance et le développement des colzas"	""	". Des pertes de pied"	"1150-1194"	"type=N_KON_N, match=fcu, form=la croissance et le développement des colzas"
"100701_bsv_mais"	"html"	"8622"	"du maïs au1/07: BSV"	"céréales et protéagineux"	""	"1/6 Semaine 26 - 01"	"1496-1520"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"html"	"8622"	"t 500 pucerons. BSV"	"céréales et protéagineux"	""	"2/6 Semaine 26 - 01"	"2354-2378"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"html"	"8622"	"d'auxiliaires. BSV"	"céréales et protéagineux"	""	"3/6 Semaine 26 - 01"	"3924-3948"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"html"	"8622"	"res en moyenne. BSV"	"céréales et protéagineux"	""	"4/6 Semaine 26 - 01"	"5429-5453"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"html"	"8622"	"avec symptômes. BSV"	"céréales et protéagineux"	""	"5/6 Semaine 26 - 01"	"7517-7541"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"html"	"8622"	"itut du végétal BSV"	"céréales et protéagineux"	""	"6/6 Semaine 26 - 01"	"8568-8592"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"html"	"22916"	"'helminthosporiose."	"POIS ET FÉVEROLES"	""	": 11 feuilles pour"	"704-721"	"type=N_KON_N, match=fcu, form=POIS ET FÉVEROLES"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"html"	"22916"	"a dans la rotation ("	"colza, tournesol, pois"	""	"), les attaques rec"	"5073-5095"	"type=N_PUN_N, match=fcu, form=colza, tournesol, pois"
"11_BSV_GC_19052009_cle85f46f"	"html"	"5249"	"culture Céréales à"	"paille, colza, lin, pois, Labour"	""	"féverole, tournesol"	"3368-3400"	"type=N_PUN_N, match=fcu, form=paille, colza, lin, pois, Labour"
