"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"02_bsv_raisin_29032012_V3"	"n fin de saison sur"	"feuilles, fruits et sarments"	"feuilles,  et sarments"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"rarement observés j"	"2891-2919"	"type=N_PUN_N_KON_N, match=fcu, form=feuilles, fruits et sarments"
"02_bsv_raisin_29032012_V3"	"e pour le moment en"	"raisin de table, la conservation du champignon"	"raisin de table, la conservation du champignon"	"raisin de table ( vigne de table ) =http://ontology.inrae.fr/frenchcropusage/Vignes_table, raisin ( vigne ) =http://ontology.inrae.fr/frenchcropusage/Vignes"	"est assurée par les"	"3537-3583"	"type=N_PUN_N, match=fcu, form=raisin de table, la conservation du champignon"
"04_bsv_raisin_12042012_V3"	"Al-SDQPV et ANAMSO ("	"colza, p"	", p"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	".2) En butinant de f"	"6979-6987"	"type=N_PUN_N, match=fcu, form=colza, p"
"04_bsv_raisin_12042012_V3"	"utinant de fleur en"	"fleur, les insectes"	", les insectes"	"fleur ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"pollinisateurs part"	"7015-7034"	"type=N_PUN_N, match=fcu, form=fleur, les insectes"
"04_bsv_raisin_12042012_V3"	"onie peu conditions"	"d'enrobage et d'utilisation des semences"	"d'enrobage et d'utilisation des "	"semences ( semence ) =http://ontology.inrae.fr/frenchcropusage/Semences"	"traitées populeuse"	"12978-13018"	"type=N_KON_N, match=fcu, form=d'enrobage et d'utilisation des semences"
"07_BSV_GC_16042013_cle83b3df"	"ts. En cas de forte"	"attaque, la floraison des colzas"	"attaque, la floraison des "	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"peut être fortement"	"1213-1245"	"type=N_PUN_N, match=fcu, form=attaque, la floraison des colzas"
"07_BSV_GC_16042013_cle83b3df"	"ise. Dans certaines"	"situations, le colza"	"situations, le "	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"n'arrive pas à fleu"	"1293-1313"	"type=N_PUN_N, match=fcu, form=situations, le colza"
"07_BSV_GC_16042013_cle83b3df"	"isques charançon de"	"la tige du colza et méligèthes"	"la tige du  et méligèthes"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"peut être envisagée"	"1464-1494"	"type=N_KON_N, match=fcu, form=la tige du colza et méligèthes"
"08_BSV_ZNA_080714_cle0bae61"	"is Tigre du Platane"	"Maladies et ravageurs des Rosiers"	"Maladies et ravageurs des "	"Rosiers ( rosier ) =http://ontology.inrae.fr/frenchcropusage/Rosiers"	"Maladies des gazons"	"522-555"	"type=N_KON_N, match=fcu, form=Maladies et ravageurs des Rosiers"
"08_BSV_ZNA_080714_cle0bae61"	"dérés à importants."	"Maladies et ravageurs des rosiers"	"Maladies et ravageurs des "	"rosiers ( rosier ) =http://ontology.inrae.fr/frenchcropusage/Rosiers"	"Situation actuelle"	"2875-2908"	"type=N_KON_N, match=fcu, form=Maladies et ravageurs des rosiers"
"091008_Bsv_cereales"	"ECéréales d'hiver :"	"escourgeons et blé"	"escourgeons et blé"	"escourgeons ( orge à six rangs ) =http://ontology.inrae.fr/frenchcropusage/Orges_six_rangs, blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"Semaine 41 08/10/20"	"89-107"	"type=N_KON_N, match=fcu, form=escourgeons et blé"
"091015_Bsv_cereales"	"ECéréales d'hiver :"	"escourgeons et blé"	"escourgeons et blé"	"escourgeons ( orge à six rangs ) =http://ontology.inrae.fr/frenchcropusage/Orges_six_rangs, blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"Semaine 42 15/10/20"	"89-107"	"type=N_KON_N, match=fcu, form=escourgeons et blé"
