"bsv"	"type"	"length"	"context before"	"form"	"prefLabel"	"context after"	"location"	"features"
"01F57Zd3vFWg1itsp44SIT8E"	"html"	"4471"	"conséquences sur un"	"verger adulte"	"jardin"	"sont nulles ; en re"	"993-1006"	"IRI=http://ontology.inrae.fr/frenchcropusage/Jardins, tomap-candidate-head=vergers, tomap-concept-synonym=verger familial, tomap-significant-head=vergers, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=jardin, skos-prefLabel=jardin, skos-prefLabel=jardin, skos-prefLabel=jardin, skos-prefLabel=jardin, skos-prefLabel=jardin, skos-prefLabel=jardin, skos-prefLabel=jardin, form=verger adulte"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"MIDI-PYRENEES"	"Raisin de table"	"vigne de table"	"- n°2 19 MIDI-PYRE"	"15-30"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=Raisin de table"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"2 19 MIDI-PYRENEES"	"Raisin de table"	"vigne de table"	"- n°2 19 BULLETIN D"	"55-70"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=Raisin de table"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"re de production du"	"raisin de table"	"vigne de table"	". Les observateurs a"	"1357-1372"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=raisin de table"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"vigne de table"	"N° 2 DU 29 MARS 201"	"2068-2083"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"on de production du"	"raisin de table"	"vigne de table"	"en particulier, ave"	"2582-2597"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=raisin de table"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"e pour le moment en"	"raisin de table"	"vigne de table"	", la conservation du"	"3537-3552"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=raisin de table"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"vigne de table"	"N° 2 DU 29 MARS 201"	"4512-4527"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"l'animateur filière"	"raisin de table"	"vigne de table"	"du Syndicat du Chas"	"6103-6118"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=raisin de table"
"02_bsv_raisin_29032012_V3"	"html"	"6872"	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"vigne de table"	"N° 2 DU 29 MARS 201"	"6825-6840"	"IRI=http://ontology.inrae.fr/frenchcropusage/Vignes_table, tomap-classifier=exact, similarity=1.0, skos-prefLabel=vigne de table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
