REG_NOM;REG_NOM_OLD;ACA_NOM;DEP_NOM;COM_NOM;AUC_NOM
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Bourguignon-lès-la-Charité;Bourguignon-lès-la-Charité
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Breurey-lès-Faverney;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Broye-Aubigney-Montseugny;Dijon
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Calmoutier;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Chagey;Chagey
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Champlitte;Champlitte
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Champtonnay;Gray
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;La Chapelle-lès-Luxeuil;Luxeuil-les-Bains
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Charentenay;SO
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Charmes-Saint-Valbert;Charmes-Saint-Valbert
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Chassey-lès-Montbozon;Chassey-lès-Montbozon
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Châteney;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Chauvirey-le-Vieil;Chauvirey-le-Vieil
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Chaux-la-Lotière;Besançon
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Chaux-lès-Port;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Cirey;Besançon
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Cognières;Cognières
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Coisevaux;Montbéliard
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Comberjon;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Conflandey;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Conflans-sur-Lanterne;Conflans-sur-Lanterne
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Contréglise;Contréglise
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;La Creuse;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Cuve;Cuve
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Dampierre-lès-Conflans;Dampierre-lès-Conflans
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;La Demie;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Denèvre;Denèvre
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Échenoz-la-Méline;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Fleurey-lès-Faverney;Vesoul
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Fleurey-lès-Lavoncourt;Fleurey-lès-Lavoncourt
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Fondremand;Besançon
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Les Fontenis;SO
Bourgogne-Franche-Comté;Franche-Comté;Besançon;Haute-Saône;Fouvent-le-Bas;SO
